"API Login ID","Ідентифікатор логіну API"
"Accepted Currency","Валюта, що приймається"
"Authorize Only","Тільки авторизувати"
"Authorize and Capture","Авторизувати та Захопити"
"Cancel","Скасувати"
"Credit Card Types","Типи Кредитних Карток"
"Credit Card Verification","Перевірка кредитної картки"
"Debug","Відладка"
"Email Customer","Написати ел. листа покупцеві"
"Enabled","Ввімкнено"
"Invalid amount for authorization.","Невірна сума для авторизації."
"Invalid amount for capture.","Неприпустима сума для блокування."
"Invalid amount for refund.","Неприпустима сума для повернення."
"Maximum Order Total","Максимальний підсумок замовлення"
"Merchant's Email","Електронна пошта мерчанта"
"Minimum Order Total","Мінімальний підсумок замовлення"
"New Order Status","Статус нового замовлення"
"Payment Action","Дія Оплати"
"Payment authorization error.","Помилка авторизація платежу."
"Payment capturing error.","Помилка блокування платежу."
"Payment from Applicable Countries","Платіж з Відповідних Країн"
"Payment from Specific Countries","Платіж з Конкретних Країн"
"Payment refunding error.","Помилка повернення платежу."
"Payment voiding error.","Помилка анулювання платежу."
"Sort Order","Порядок Сортування"
"Test Mode","Тестовий режим"
"Title","Назва"
"Transaction Key","Ключ транзакції"
"authorize","авторизувати"
"authorize and capture","авторизувати і блокувати"
"capture","блокувати"
"failed","не вдалося"
"refund","повернення"
"successful","вдало"
"void","недійсний"
