"Allow for Guests","Дозволити для гостів"
"Back","Назад"
"Email Address","Електронна пошта"
"Email Address:","Електронна пошта:"
"Email Templates","Шаблони листів"
"Email to a Friend","Надіслати другу"
"Email:","Електронна пошта:"
"Enabled","Ввімкнено"
"Limit Sending By","Обмеження надсилання"
"Max Products Sent in 1 Hour","Максимальна кількість продуктів, що можна надіслати напротязі 1 години"
"Max Recipients","Максимальна кількість одержувачів"
"Maximum %d email addresses allowed.","Максимально дозволено %d email адрес."
"Message:","Повідомлення:"
"Name","Назва"
"Name:","Назва:"
"Recipient:","Отримувач:"
"Remove Email","Видалити Email"
"Send product to a friend","Надіслати листа з посиланням на цей продукт"
"Sender:","Відправник:"
