"-- Please Select --","-- Виберіть --"
"Actions","Дії"
"All","Всі"
"All Pages","Всі сторінки"
"All Product Types","Усі типи товарів"
"Apply","Застосувати"
"Big Image","Велике Зображення"
"Categories","Категорії"
"Choose...","Виберіть..."
"Close","Закрити"
"Continue","Продовжити"
"Delete","Видалити"
"Export to:","Експорт до:"
"Frontend Properties","Налаштування зовнішнього інтерфейсу"
"Images","Зображення"
"Next page","Наступна сторінка"
"Open Chooser","Вибрати"
"Page","Сторінка"
"Previous page","Попередня сторінка"
"Products","Товари"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Select All","Вибрати все"
"Select Visible","Вибрати Видиме"
"Settings","Налаштування"
"Sort Order","Порядок Сортування"
"Template","Шаблон"
"The information in this tab has been changed.","Інформація у цій вкладці була змінена."
"This tab contains invalid data. Please solve the problem before saving.","Ця закладка вміщує невірні дані. Будь-ласка, виправіть це перед збереженням."
"Thumbnail","Мініатюра"
"Total %d records found","Всього %d записів знайдено"
"Type","Тип"
"Unselect All","Зняти Усі Виділення"
"Unselect Visible","Зняти Виділення з Вибраних"
"View","Переглянути"
"items selected","товарів вибрано"
"of %s pages","з %s сторінок"
"per page","на сторінці"
