"-- Please Select --","-- Виберіть --"
"Add New Class","ДОдати новий клас"
"Add New Tax Rate","Додати нову ставку податку"
"Add New Tax Rule","Додати нове правило податку"
"After Discount","Після знижки"
"Apply Discount On Prices","Застосувати знижку до цін"
"Are you sure you want to do this?","Ви справді бажаєте це зробити?"
"Back","Назад"
"Before Discount","Перед знижкою"
"Class Name","Назва класу"
"Code","Код"
"Country","Країна"
"Customer Tax Class Information","Інформація про клас податку клієнта"
"Customer Tax Classes","Класи податків клієнта"
"Default Country","Країна за Замовчуванням"
"Delete Class","Видалити клас"
"Delete Rate","Видалити правило"
"Delete Rule","Видалити правило"
"Edit Class","Редагувати клас"
"Edit Class '%s'","Редагувати клас '%s'"
"Edit Rule","Редагувати правило"
"Edit Tax Rate","Редагувати ставку податку"
"Excl. Tax","Викл. податки"
"Export Tax Rates","Експорт ставок податку"
"Import / Export Tax Rates","Імпорт/ Експорт ставок податку"
"Import Tax Rates","Імпорт ставок податку"
"Inc. Tax","Вкл. з податками"
"Incl. Tax","З податками"
"Invalid file format upload attempt","Ви спробували завантажити файл невірного формату"
"Invalid file upload attempt","Ви спробували завантажити невірний файл"
"Product Tax Classes","Класи податку товару"
"Tax Rules","Правиила податку"
"Name","Назва"
"New Class","Новий клас"
"New Rule","Нове правило"
"New Tax Rate","Нова ставка подаку"
"No","Ні"
"None","Жоден"
"Priority","Пріоритет"
"Product Tax Class Information","Інформація про клас податку товару"
"Rate","Ставка"
"Reset","Очистити"
"Row Total","Підсумок рядка"
"Sales","Продажі"
"Save Class","Зберегти клас"
"Save Rate","Зберегти ставку"
"Save Rule","Зберегти правило"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Shipping & Handling (Excl.Tax)","Доставка та оброблення (за виключенням податків)"
"Shipping & Handling (Incl.Tax)","Доставка та оброблення (включаючи податки)"
"Shopping Cart Display Settings","Налаштування відображення Кошика"
"Sort Order","Порядок Сортування"
"State","Регіон"
"State/Region","Регіон/Область"
"Tax","Податок"
"Tax Rate","Ставка податку"
"Tax Rate Information","Інформація про ставку податку"
"Tax Rule Information","Інформація про правило податку"
"This class no longer exists","Цього класу більше не існує"
"This rule no longer exists","Дане правило більше не існує"
"This rule no longer exists.","Цього правила більше не існує."
"Total","Загалом"
"Unit Price","Ціна одиниці"
"Yes","Так"
"You cannot delete this tax class as it is used for %d customer groups.","Ви не можете видалити цей клас податку, оскільки він використовується в %d групах клієнтів."
"You cannot delete this tax class as it is used for %d products.","Ви не можете видалити цей клас податку, оскільки він використовується в %d товарах."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Ви не можете видалити цей клас податку, оскільки він використовується в правилах податку. Спершу видаліть ці правила."
"Zip/Post Code","Поштовий індекс"
