"Action","Дія"
"Add to Cart","Додати в кошик"
"Add to Compare","Додати до порівняння"
"Add to Wishlist","Додати до списку бажань"
"Any","Будь-який"
"Applied Coupon","Використаний сертифікат"
"Are you sure?","Ви впевнені?"
"Bestsellers","Лідери продажів"
"Bought from wishlists","Куплено зі списку бажань"
"Carts","Кошики"
"Compared Products Grid Template","Таблична форма порівняних товарів"
"Compared Products List Template","Шаблон списку порівняних товарів"
"Coupons","Сертифікати"
"Created At","Створений в"
"Customer","Покупець"
"Customer Name","Ім'я клієнта"
"Customer Tags","Теги клієнта"
"Customers","Покупці"
"Customers Report","Звіт про клієнтів"
"Customers Reviews","Відгуки клієнтів"
"Customers Tags","Теги клієнтів"
"Customers by number of orders","Клієнти за кількістю замовлень"
"Customers by orders total","Клієнти за сумою замовлень"
"Customers that have wishlist: %s%","Клієнти, що мають списки бажань: %s%"
"Dashboard","Панель управління"
"Day","День"
"Description","Опис"
"Detail","Деталі"
"Downloads","Завантаження"
"Email","Електронна пошта"
"Empty Rows","Нема записів"
"Filter","Фільтр"
"First Name","Ім'я"
"From","Від"
"General","Загальні"
"Guest","Гість"
"Hits","Кліків"
"ID","Ідентифікатор"
"IP Address","IP адреса"
"Invoiced","Виставлено рахунок"
"Items in Cart","Позицій(ї) в кошику"
"Last Name","Прізвище"
"Last Review","Останній відгук"
"Link","Посилання"
"List of Products Recently Viewed by Visitor","Перелік товарів нещодавно переглянутих відвідувачем"
"Low stock","Товари, що завкінчуються на складі"
"Month","Місяць"
"Most Viewed","Товари, що найчастіше переглядаються"
"Name","Назва"
"New Accounts","Новий акаунт"
"No","Ні"
"Number Added","Кількість доданих"
"Number Fulfilled","Кількість виконаних"
"Number Of Reviews","Кількість відгуків"
"Number Purchased","Кількість придбаних товарів "
"Number Viewed","Кількість переглядів"
"Number of Items","Кількість товарів"
"Number of New Accounts","Кількість нових облікових записів"
"Number of Products to display","Кількість товарів для показу"
"Number of Reviews","Кількість відгуків"
"Number of Total Tags","Загальна кількість тегів"
"Number of Unique Tags","Кількість унікальних тегів"
"Number of Views","Кількість переглядів"
"Number of items bought from a wishlist: %s","Кількість товарів куплених зі списку бажань: %s"
"Number of times wishlists have been shared (emailed): %s","Кількість надсилань списку бажань: %s"
"Number of wishlist conversions: %s","Кількість конверсій зі списку бажань: %s"
"Number of wishlist referrals: %s","Кількість рефералів зі списку бажань : %s"
"Number of wishlists: %s","Кількість списків бажань: %s"
"Order Status","Статус замовлення"
"Orders","Замовлення"
"Out of stock","Немає у наявності"
"Period","Період"
"Poducts Report","Звіт про товари"
"Popular Tags","Популярні теги"
"Popularity","Популярність"
"Price","Ціна"
"Product Name","Назва товару"
"Product Reviews","Відгуки про товар"
"Product SKU","Обліковий номер товару"
"Product Tags","Теги товару"
"Products","Товари"
"Products Report","Звіт про товари"
"Products Reviews","Відгуки про товари"
"Products Tags","Теги товарів"
"Products in carts","Товари в кошику"
"Quantity Ordered","Кількість"
"Quantity of Items","Кількість товарів"
"Recently Compared","Нещодавно порівняні"
"Recently Compared Products","Нещодавно порівняні товари"
"Recently Viewed","Нещодавно переглянуті"
"Recently Viewed Products","Нещодавно переглянуті товари"
"Recently Viewed/Compared Products","Нещодавно переглянуті/порівнювані товари"
"Refunds","Повернення коштів"
"Reports","Звіти"
"Results","Результати"
"Revenue","Прибуток"
"Review","Відгук"
"Reviews","Відгуки"
"Reviews for %s","Відгуки про %s"
"Sales","Продажі"
"Sales Report","Звіт про продажі"
"Search Query","Пошуковий запит"
"Search Terms","Пошукові фрази"
"Shipping","Доставка"
"Shopping Cart","Кошик"
"Shopping Cart Price Rule","Правило ціни кошика"
"Show for Current","Показати для поточного"
"Stock Qty","Кількість на складі"
"Submitted In","Відправлено"
"Submitted On","Відправлено"
"Subtotal","Проміжні підсумки"
"Tag","Тег"
"Tag ""%s"" details","деталі тегу ""%s"" "
"Tag Detail","Деталі тегу"
"Tag Name","Назва тегу"
"Tags submitted to %s","Теги відправлені %s"
"Tax","Податок"
"Title","Назва"
"To","До"
"Total","Загалом"
"Total Tags","Всього тегів"
"Total invoiced","Всього платежів"
"Total refunded","Всього відшкодовано"
"Updated At","Оновлено"
"Viewed Products Grid Template","Таблична форма переглянутих товарів"
"Viewed Products List Template","Шаблон списку переглянутих товарів"
"Visible In","Видимий в"
"Wishlist Report","Звіт по списку бажань "
"Wishlist vs. Regular Order","Список бажань vs. Звичайне замовлення"
"Wishlists","Списки бажань"
"Year","Рік"
"Yes","Так"
"Your Recently Compared","Ваші нещодавні порівняння"
"Your Recently Viewed","Ваші нещодавні перегляди"
