"-- Please select --","-- Виберіть, будь ласка --"
"API Key","API ключ"
"Allowed Currencies","Дозволені валюти"
"Base Currency","Основна валюта"
"Continue &raquo;","Продовжити &raquo;"
"Country","Країна"
"Country and Format Type combination should be unique","Країна та тип формату повинні бути унікальні"
"Currency","Валюта"
"Currency Options","Варіанти валюти"
"Currency Setup","Встановлення валюти"
"Currency Update Warnings","Попередження по оновлення валюти"
"Default Display Currency","Відображувана валюта за умовчанням"
"Enabled","Ввімкнено"
"Error Email Recipient","Невірний отримувач Email "
"Error Email Sender","Невірний відправник Email"
"Error Email Template","Невірний шаблон Email"
"FATAL ERROR:","КРИТИЧНА ПОМИЛКА:"
"Frequency","Частота"
"Installed Currencies","Встанвлені валюти"
"Invalid country code: %s","Невірний код країни: %s"
"Invalid rates received","Отримані невірні курси"
"Scheduled Import Settings","Запланований імпорт налаштувань"
"Select Your Currency","Виберіть Вашу валюту"
"Service","Послуга"
"Start Time","Час початку"
"State/Province","Штат/Область"
"WARNING:","УВАГА:"
"Your current currency is: %s","Ваша поточна валюта: %s"
