"-- Please Select --","-- Виберіть --"
"Add to Cart","Додати в кошик"
"Choose an Option...","Виберіть варіант..."
"Enabled","Ввімкнено"
"General Settings","Основні Налаштування"
"In Stock","В наявності"
"Out of Stock","Немає в наявності"
"Previous","Попереднє"
"Remove This Item","Видалити Цей Елемент"
"Width","Ширина"
