"Advanced Search","Розширений пошук"
"All","Всі"
"Catalog Advanced Search","Каталог розширеного пошуку"
"Catalog Search","Пошук в каталозі"
"Don't see what you're looking for?","Не побачили, що шукали?"
"Go to Home Page","Перейти на домашню сторінку"
"Grid","Таблиця"
"Home","Головна"
"List","Список"
"Maximum Query Length","Максимальна довжина запиту"
"Minimal Query Length","Мінімальна довжина запиту"
"Modify your search","Шукати заново"
"No","Ні"
"Popular Search Terms","Популярні пошукові терміни"
"Rebuild Catalog product fulltext search index","Перебудувати індекс повнотекстового пошуку каталогу товарів"
"Relevance","Релевантність"
"Results","Результати"
"Search","Пошук"
"Search Settings","Параметри пошуку"
"Search Terms","Пошукові фрази"
"Search entire store here...","Шукайте тут..."
"Search results for '%s'","Результати пошуку для '%s'"
"Search results for: '%s'","Результати пошуку для: '%s'"
"Subscribe to Feed","Підписатись на стрічку новин"
"There are no search terms available.","Немає доступних пошукових запитів."
"Yes","Так"
"Your search returns no results.","Нажаль, нічого не знайдено."
"up to %s","до %s"
