"Actions","Дії"
"Add Answer","Додати відповідь"
"Add New Answer","Додати нову відповідь"
"Add New Poll","Додати нове опитування"
"Answer Title","Заголовок відповіді"
"Answer Title:","Заголовок відповіді:"
"Answer with the same title in this poll","Відповідь з однаковим заголовком в цьому опитуванні"
"Are you sure you want to delete it?","Ви впевнені, що бажаєте її видалити?"
"Assigned Answers","Призначені відповіді"
"Closed","Закриті"
"Community Poll","Опитування"
"Date Closed","Дата завершення"
"Date Posted","Дата опублікування"
"Delete","Видалити"
"Delete Answer","Видалити відповідь"
"Delete Poll","Видалити опитування"
"Edit Answer '%s'","Редагувати відповідь '%s'"
"Edit Poll '%s'","Редагувати опитування '%s'"
"Edit Poll Answer","Редагувати відповіді опитування"
"ID","Ідентифікатор"
"New Poll","Нове опитування"
"Number of Responses","Кількість відповідей"
"Open","Відкриті"
"Poll Answers","Відповіді на опитування"
"Poll Information","Інформація про опитування"
"Poll Manager","Опитування"
"Poll Question","Запитання"
"Poll information","Інформація про опитування"
"Poll with the same question","Опитування з ідентичним питанням"
"Save Answer","Зберегти відповідь"
"Save Poll","Зберегти опитування"
"Status","Статус"
"Visible In","Видимий в"
"Vote","Голосувати"
"Votes Count","Кількість голосів"
"Votes Count:","Кількість голосів:"
