"Add","Додати"
"Allow Gift Messages for Order Items","Дозволити використання привітальних повідомлень для замовлений товарів "
"Allow Gift Messages on Order Level","Дозволити використання привітальних повідомлень на рівні замовлень"
"Are you sure?","Ви впевнені?"
"Cancel","Скасувати"
"Do you have any gift items in your order?","Ви маєте подарункові товари у Вашому замовленні?"
"Edit","Редагувати"
"From","Від"
"Gift Message","Подарункове повідомлення"
"Item %d of %d","Товар %d з %d"
"Message","Повідомлення"
"No","Ні"
"OK","ОК"
"Save Gift Message","Зберегти привітальне повідомлення"
"To","До"
"Unknown entity type","Невідомий тип об'єкту"
"Use config","Використати конфігурацію"
"Yes","Так"
