"* Required Fields","* Обов'язкові поля"
"Admin","Адміністратор"
"Authorize","Авторизувати"
"Close","Закрити"
"Created At","Створений в"
"Customer","Покупець"
"Delete","Видалити"
"Disable","Вимкнути"
"Disabled","Вимкнено"
"Edit","Редагувати"
"Email","Електронна пошта"
"Email Address","Електронна пошта"
"Enable","Увімкнути"
"Enabled","Ввімкнено"
"ID","Ідентифікатор"
"Key","Ключ"
"Log In","Вхід"
"Login","Увійти"
"Name","Назва"
"Password","Пароль"
"Permissions","Права"
"Role Name","Назва ролі"
"Save","Зберегти"
"Save and Continue Edit","Зберегти та Продовжити Редагування"
"Status","Статус"
"System","Система"
"User ID","ID користувача"
"User Name","Ім'я користувача"
