"2Day","2день"
"AVS Status: %s","AVS Статус: %s"
"Amount: %s","Вартість: %s"
"Auto-generated from GoogleCheckout Charge","Автоматично згенеровано з GoogleCheckout Charge"
"CC Partial: xxxx-%s","Часткове CC : xxxx-%s"
"Cart Discount","Снижка для кошика"
"Checkout Image Style","Зображення оформлення замовлення"
"Debug","Відладка"
"Default price:","Ціна за замовчуванням:"
"Enable","Увімкнути"
"Home Delivery","Доставка додому"
"IP Address: %s","IP адреса: %s"
"Location","Адреса"
"Merchant ID","Ідентифікатор Торговця"
"Merchant Key","Ключ продавця"
"New Order Status","Статус нового замовлення"
"No","Ні"
"Parcel Post","Поштово-посилкова служба"
"Sandbox","Пісочниця"
"Title","Назва"
"Yes","Так"
