"All Websites","Όλες οι Ιστοσελίδες"
"Display Prices In Emails","Εμφάνιση τιμών σε μηνύματα ηλεκτρονικού ταχυδρομείου"
"Display Prices In Product Lists","Εμφάνιση τιμών σε λίστες προϊόντων"
"Display Prices In Sales Modules","Απεικόνιση Τιμών στις Ενότητες Πώλησης"
"Display Prices On Product View Page","Προβολή τιμών στη σελίδα προϊόντος"
"Enable FPT","Ενεργοποίηση FPT"
"Excluding FPT","Εκτός από FPT"
"Fixed Product Tax","Σταθερός Φόρος Προϊόντος"
"Fixed Product Taxes","Σταθεροί Φόροι Προϊόντος"
"Include FPT In Subtotal","Συμπερίληψη FPT σε μερικό άθροισμα"
"Including FPT and FPT description","Συμπεριλαμβανομένου FPT και FPT Περιγραφής"
"Including FPT only","Συμπεριλαμβανομένου FPT μόνο"
"Total","Σύνολο"
"Total Incl. Tax","Σύνολο με Φόρο"
"Total:","Σύνολο:"
