"# of Use","# χρήσης"
"%s Item(s)","%s Προϊόν(τα)"
"(Copy data from: %s)","(Αντιγραφή στοιχείων από: %s)"
"* Required Fields","* Απαιτούμενα πεδία"
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"A group with the same name already exists.","Μια ομάδα με το ίδιο όνομα υπάρχει ήδη."
"A name is required","Απαιτείται ένα όνομα"
"A product type is not defined for the indexer.","Ένας τύπος προϊόντος δεν έχει οριστεί για το ευρετήριο."
"ALL GROUPS","ΟΛΕΣ ΟΙ ΟΜΑΔΕΣ"
"AM","Π.Μ."
"Action","Ενέργεια"
"Actual Price","Πραγματική Τιμή"
"Add","Προσθήκη"
"Add Attribute","Προσθήκη Χαρακτηριστικού"
"Add Design Change","Προσθήκη Αλλαγή της Σχεδίασης"
"Add Group","Προσθήκη Ομάδας"
"Add New","Προσθήκη Νέου"
"Add New Attribute","Προσθέστε Νέο Χαρακτηριστικό"
"Add New Attribute Set","Προσθέστε νέο σύνολο χαρακτηριστικών"
"Add New Group","Προσθήκη Νέας Ομάδας"
"Add New Images","Προσθήκη νέων εικόνων"
"Add New Option","Προσθήκη νέας επιλογής"
"Add New Row","Προσθέσετε νέα γραμμή"
"Add New Search Term","Προσθέστε νέο όρο αναζήτησης"
"Add New Set","Πρόσθεση Νέου Συνόλου"
"Add Product","Προσθήκη Προϊόντος"
"Add Product To Websites","Προσθήκη προϊόντος σε ιστοσελίδες"
"Add Root Category","Προσθήκη Κύριας Κατηγορίας"
"Add Subcategory","Προσθήκη Υποκατηγορίας"
"Add Tax","Προσθήκη Φόρου"
"Add Tier","Τιμή Πολλαπλών Τεμαχίων(Tier)"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Compare","Προσθήκη για Σύγκριση"
"Add to Wishlist","Προσθήκη στη Λίστα Επιθυμιών"
"Additional Information","Επιπρόσθετες Πληροφορίες"
"All","Όλα"
"All Product Types","Όλοι οι Τύποι Προϊόντων"
"All Websites","Όλες οι Ιστοσελίδες"
"All products","Όλα τα προϊόντα"
"All products - recently added products, New products - products marked as new","Όλα τα προϊόντα - προϊόντα που προστέθηκαν πρόσφατα, Νέα προϊόντα - προϊόντα που φέρουν σήμανση ως νέα"
"Allow All Products per Page","Επιτρέψτε Όλα τα Προϊόντα ανά Σελίδα"
"Amount","Ποσό"
"Anchor Custom Text","Προσαρμοσμένος Τίτλος Σημείου Αγκύρωσης"
"Anchor Custom Title","Προσαρμοσμένος Τίτλος Σημείου Αγκύρωσης"
"Apply To","Εφαρμογή Σε"
"Approved","Εγκρίθηκε"
"Are you sure you want to delete this category?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτήν την κατηγορία;"
"Are you sure you would like to remove this item from the compare products?","Είστε βέβαιοι ότι θέλετε να αφαιρέσετε το είδος από τη σύγκριση προϊόντων;"
"Are you sure?","Είσαι σίγουρος;"
"As low as:","Φτάνει μέχρι:"
"Assign","Αντιστοίχιση"
"Associated Products","Συσχετιζόμενα προϊόντα"
"Attrib. Set Name","Όνομα Συνόλου Ιδιοτήτων"
"Attribute Information","Πληροφορίες Χαρακτηριστικού"
"Attribute Model","Μοντέλο Χαρακτηριστικό"
"Attribute Name:","Όνομα Χαρακτηριστικού:"
"Attribute Set","Σύνολο χαρακτηριστικών"
"Attribute Sets","Σύνολα χαρακτηριστικών"
"Attribute with the same code already exists","Ένα Χαρακτηριστικό με τον ίδιο κώδικα υπάρχει ήδη"
"Attributes","Χαρακτηριστικά"
"Autogenerate","Αυτοπαραγώμενο"
"Availability:","Διαθεσιμότητα:"
"Back","Πίσω"
"Backend Model","Μοντέλο Παρασκηνίου"
