"Action","Ενέργεια"
"Are you sure you want to delete the selected backup(s)?","Είστε σίγουροι ότι θέλετε να διαγράψετε το(α) επιλεγμένο(α) αντίγραφο(α) ασφαλείας;"
"Backups","Αντίγραφα Ασφαλείας"
"Create Backup","Δημιουργία Αντίγραφου Ασφαλείας"
"Database","Βάση δεδομένων"
"Database Backup","Αντίγραφο Ασφαλείας Βάσης Δεδομένων"
"Database and Media","Βάση Δεδομένων και Πολυμέσα"
"Database and Media Backup","Αντίγραφο Ασφαλείας Βάσης Δεδομένων και Πολυμέσων"
"Download","Λήψη"
"Enable Scheduled Backup","Ενεργοποιήση προγραμματισμένης δημιουργίας αντιγράφων ασφαλείας"
"Frequency","Συχνότητα"
"Maintenance Mode","Λειτουργία Συντήρησης"
"Name","Όνομα"
"Rollback","Επαναφορά"
"Start Time","Ώρα Έναρξης"
"System","Σύστημα"
"System (excluding Media)","Σύστημα (εξαιρουμένων των πολυμέσων)"
"System Backup","Αντίγραφο Ασφαλείας Συστήματος"
"Time","Ώρα"
"Type","Τύπος"
