"Actions","Ενέργειες"
"Active","Ενεργό"
"Add New Rule","Προσθήκη Νέου Κανόνα"
"Apply","Εφαρμογή"
"Apply Rules","Εφαρμογή των κανόνων"
"Attribute Set","Σύνολο χαρακτηριστικών"
"By Fixed Amount","Κατά Σταθερό Ποσό"
"Catalog","Κατάλογος"
"Catalog Price Rule","Κανόνας Τιμής Καταλόγου"
"Catalog Price Rules","Κανόνες Τιμών Καταλόγου"
"Category","Κατηγορία"
"Conditions","Συνθήκες"
"Conditions (leave blank for all products)","Συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Customer Groups","Ομάδες Πελατών"
"Date Expire","Ημερομηνία λήξης"
"Date From","Ημερομηνία από"
"Date Start","Έναρξη την ημερομηνία"
"Date To","Ημερομηνία έως"
"Description","Περιγραφή"
"Discount Amount","Ποσό Έκπτωσης"
"Edit Rule","Επεξεργασία Ρόλου"
"Edit Rule '%s'","Επεξεργασία Κανόνα '%s'"
"Expiration Date","Ημερομηνία λήξης"
"From Date","Από Ημερομηνία"
"General Information","Γενικές Πληροφορίες"
"Inactive","Ανενεργό"
"New Rule","Νέος Κανόνας"
"No","Όχι"
"Options","Επιλογές"
"Priority","Προτεραιότητα"
"Product Attribute","Χαρακτηριστικό Προϊόντος"
"Promotions","Προωθητικές ενέργειες"
"Rule Information","Πληροφορίες Κανόνα"
"Rule Name","Όνομα κανόνα"
"Save and Apply","Αποθήκευση και Εφαρμογή"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Start Date","Ημερομηνία έναρξης"
"Status","Κατάσταση"
"This rule no longer exists.","Ο κανόνας αυτός δεν υπάρχει πια."
"To Date","Μέχρι Ημερομηνία"
"To Fixed Amount","Έως Σταθερό Ποσό"
"Type","Τύπος"
"Update product's %s %s: %s","Ενημέρωση προϊόντος %s %s: %s"
"Website","Ιστοσελίδα"
"Websites","Ιστοσελίδες"
"Yes","Ναί"
