"Currency","Νόμισμα"
"Currency Rates","Ισοτιμίες νομισμάτων"
"Rates","Συντελεστές"
"Save Currency Symbols","Αποθηκεύσετε τα σύμβολα νομισματικών μονάδων"
"System","Σύστημα"
"Use Standard","Χρήση τυπικού"
