"Action","Ενέργεια"
"Add Sitemap","Προσθήκη Χάρτη Ιστότοπου"
"Always","Πάντα"
"CMS Pages Options","Επιλογές CMS Σελίδων"
"Categories Options","Επιλογές Κατηγοριών"
"Daily","Καθημερινά"
"Edit Sitemap","Επεξεργασία Χάρτη Ιστότοπου"
"Enabled","Ενεργό"
"Error Email Recipient","Παραλήπτης Email Σφάλματος"
"Error Email Sender","Αποστολέας Email Σφάλματος"
"Error Email Template","Προτύπο Email Σφάλματος"
"Filename","Όνομα αρχείου"
"Frequency","Συχνότητα"
"Generate","Δημιουργία"
"Generation Settings","Ρυθμίσεις δημιουργίας"
"Google Sitemap","Χάρτης Ιστότοπου Google"
"Hourly","Ωριαία"
"Last Time Generated","Τελευταία Φορά Που Δημιουργήθηκε"
"Link for Google","Σύνδεσμος για το Google"
"Monthly","Μηνιαία"
"Never","Ποτέ"
"New Sitemap","Νέος Χάρτης Ιστοτόπου"
"Path","Διαδρομή"
"Priority","Προτεραιότητα"
"Products Options","Επιλογές προϊόντων"
"Sitemap","Χάρτης Ιστότοπου"
"Sitemap generate Warnings","Χάρτης Ιστότοπου δημιούργησε Προειδοποιήσεις"
"Start Time","Ώρα Έναρξης"
"Store View","Προβολή Καταστήματος"
"The priority must be between 0 and 1.","Η προτεραιότητα πρέπει να είναι μεταξύ 0 και 1."
"This sitemap no longer exists.","Αυτός ο Χάρτης ιστοτοπου δεν υπάρχει πλέον."
"Weekly","Εβδομαδιαία"
"Yearly","Ετήσια"
