"Add Minimum Qty","Προσθέστε Ελάχιστη Ποσ."
"Allow Qty Below 0","Επιτρέψει ποσότητα κάτω από 0"
"Allow Qty Below 0 and Notify Customer","Επιτρέπεται Ποσ. Κάτω από το 0 και Ειδοποίηση Πελάτη"
"Automatically Return Credit Memo Item to Stock","Αυτόματη επιστροφή στοιχείου πιστωτικού υπομνήματος στο απόθεμα"
"Backorders","Προπαραγγελίες"
"By Fixed value","Κατά σταθερή τιμή"
"By Percentage","Κατά ποσοστό"
"Decrease Stock When Order is Placed","Μείωση Αποθεμάτων Όταν Τοποθετείται η Παραγγελία"
"Display Out of Stock Products","Εμφάνιση των Εξαντλημένων Προϊόντων"
"Enable Qty Increments","Ενεργοποίηση Προσαυξήσεις Ποσ"
"In Stock","Σε Απόθεμα"
"Inventory","Απόθεμα"
"Inventory Section","Ενότητα Αποθεμάτων"
"Manage Stock","Διαχείριση Αποθεμάτων"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"Minimum Qty","Ελάχιστη Ποσ."
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη ποσότητα που επιτρέπεται στο καλάθι αγορών"
"No Backorders","Δεν υπάρχουν Προπαραγγελίες"
"Notify for Quantity Below","Ειδοποίηση για ποσότητα κάτω από"
"Only X left Threshold","Όριο για Μόνο X απόμειναν"
"Out of Stock","Εξαντλημένο"
"Product Name","Όνομα Προϊόντος"
"Product Stock Options","Επιλογές Αποθέματος Προϊόντων"
"Products will still be shown by direct product URLs.","Τα προϊόντα θα εξακολουθούν να φαίνονται από την άμεση διεύθυνση URL προϊόντων."
"Qty","Ποσότητα"
"Qty Increments","Προσαυξήσεις Ποσ."
"Rule price","Kανόνας Τιμής"
"Set Items' Status to be In Stock When Order is Cancelled","Ορισμός κατάστασης των αντικειμένων να είναι σε απόθεμα όταν Ακυρώνονται"
"Stock Options","Επιλογές Αποθέματος"
"Stock Status","Κατάσταση των αποθεμάτων"
"The requested quantity for ""%s"" is not available.","Η ζητούμενη ποσότητα για ""%s"" δεν είναι διαθέσιμη."
"The stock item for Product in option is not valid.","Το στοιχείο αποθέματος για προϊόν στην επιλογή δεν είναι έγκυρο."
"To Fixed Value","Σε σταθερή τιμή"
"To Percentage","Σε ποσοστό"
"Update","Ενημέρωση"
"Update the Product","Ενημερώστε το Προϊόν"
