"* Required Fields","* Απαιτούμενα πεδία"
"Admin","Διαχείριση"
"Authorize","Εξουσιοδότηση"
"Callback URL","Διεύθυνση URL επιστροφή κλήσης"
"Cleanup Probability","Πιθανότητα εκκαθάρισης"
"Cleanup Settings","Ρυθμίσεις Εκκαθάρισης"
"Close","Κλείσιμο"
"Created At","Δημιουργήθηκε στις"
"Customer","Πελάτης"
"Delete","Διαγραφή"
"Disable","Απενεργοποίηση"
"Disabled","Απενεργοποιημένο"
"Edit","Επεξεργασία"
"Email Address","Διεύθυνση Email"
"Enable","Ενεργοποίηση"
"Enabled","Ενεργό"
"Expiration Period","Περιόδος Λήξης"
"Invalid Callback URL","Μη έγκυρη επιστροφή κλήσης URL"
"Invalid Rejected Callback URL","Μη έγκυρη επιστροφή απορριφθείσας κλήσης διεύθυνσης URL"
"Key","Κλειδί"
"Log In","Σύνδεση"
"Login","Σύνδεση"
"Name","Όνομα"
"Password","Κωδικός πρόσβασης"
"Permissions","Δικαιώματα"
"Role Name","Όνομα Ρόλου"
"Save","Αποθήκευση"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Status","Κατάσταση"
"System","Σύστημα"
"User ID","ID χρήστη"
"User Name","Όνομα χρήστη"
"deleted","διαγραμμένο"
