"API Login ID","ID Σύνδεσης API"
"Accepted Currency","Αποδεκτά Νομίσματα"
"Authorize Only","Εξουσιοδότηση Μόνο"
"Authorize and Capture","Εξουσιοδότηση και Δέσμευση"
"Cancel","Άκυρο"
"Credit Card Types","Τύποι Πιστωτικών Καρτών"
"Credit Card Verification","Επαλήθευση Πιστωτικών Καρτών"
"Debug","Αποσφαλμάτωση"
"Email Customer","Email Πελάτη"
"Enabled","Ενεργό"
"Invalid amount for authorization.","Μη έγκυρο ποσό για έγκριση."
"Invalid amount for capture.","Μη έγκυρο ποσό για δέσμευση."
"Invalid amount for refund.","Μη έγκυρο ποσό για επιστροφή."
"Maximum Order Total","Μέγιστο Σύνολο Παραγγελίας"
"Merchant's Email","Email Εμπόρου"
"Minimum Order Total","Ελάχιστο Σύνολο Παραγγελίας"
"New Order Status","Νέα Κατάσταση Παραγγελίας"
"Payment Action","Ενέργεια Πληρωμής"
"Payment authorization error.","Σφάλμα έγκρισης πληρωμής"
"Payment capturing error.","Σφάλμα δέσμευσης πληρωμής."
"Payment from Applicable Countries","Πληρωμή από Εφαρμοστέες Χώρες"
"Payment from Specific Countries","Πληρωμή από Συγκεκριμένες Χώρες"
"Payment refunding error.","Σφάλμα επιστροφής πληρωμής."
"Payment voiding error.","Σφάλμα ακύρωσης πληρωμής."
"Sort Order","Σειρά Ταξινόμησης"
"Test Mode","Δοκιμαστική Λειτουργία"
"Title","Τίτλος"
"Transaction Key","Κλειδί Συναλλαγής"
"authorize","εξουσιοδότηση"
"authorize and capture","εξουσιοδότηση και δέσμευση"
"capture","δέσμευση"
"failed","απέτυχε"
"refund","επιστροφή"
"successful","επιτυχής"
"void","άκυρη"
