"-- Please Select --","--Παρακαλώ επιλέξτε--"
"Actions","Ενέργειες"
"Add Layout Update","Προσθέστε Ενημέρωση Διάταξης"
"All","Όλα"
"All Pages","Όλες οι Σελίδες"
"All Product Types","Όλοι οι Τύποι Προϊόντων"
"Anchor Categories","Κατηγορίες Σημείου Αγκύρωσης"
"Apply","Εφαρμογή"
"Assign to Store Views","Αντιστοιχίστε σε Προβολές Καταστημάτων"
"Big Image","Μεγάλη Εικόνα"
"Categories","Kατηγορίες"
"Choose...","Επιλέξτε..."
"Close","Κλείσιμο"
"Continue","Συνέχεια"
"Default Template","Προεπιλεγμένο Πρότυπο"
"Delete","Διαγραφή"
"Design Package/Theme","Σχεδίαση Πακέτου/Θέματος"
"Export to:","Εξαγωγή σε:"
"Frontend Properties","Ιδιότητες Frontend"
"Generic Pages","Γενικές σελίδες"
"Images","Εικόνες"
"Insert Widget","Εισάγετε Γραφικού Στοιχείου"
"Layout Updates","Ενημερώσεις εκδόσεις διάταξης"
"Manage Widget Instances","Διαχειριστείτε Εμφανίσεις Γραφικών Στοιχείων"
"New Widget Instance","Νέα Παρουσία Γραφικού Στοιχείου"
"Next page","Επόμενη σελίδα"
"Non-Anchor Categories","Κατηγορίες μη-Σημείου Αγκύρωσης"
"Not Selected","Δεν είναι επιλεγμένο"
"Open Chooser","Άνοιγμα Εκλέγων"
"Page","Σελίδα"
"Previous page","Προηγούμενη σελίδα"
"Products","Προϊόντα"
"Remove Layout Update","Κατάργηση Ενημέρωσης Διάταξης"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Select All","Επιλογή όλων"
"Select Visible","Επιλογή Ορατών"
"Settings","Ρυθμίσεις"
"Sort Order","Σειρά Ταξινόμησης"
"Specified Page","Καθορισμένη Σελίδα"
"Template","Πρότυπο"
"The information in this tab has been changed.","Οι πληροφορίες σε αυτήν την καρτέλα έχουν αλλάξει."
"The widget instance has been deleted.","Η παρουσία του γραφικού στοιχείου έχει διαγραφεί."
"The widget instance has been saved.","Η παρουσία του γραφικού στοιχείου έχει αποθηκευτεί."
"This tab contains invalid data. Please solve the problem before saving.","Αυτή η καρτέλα περιέχει άκυρα δεδομένα. Παρακαλούμε επιλύστε το πρόβλημα πριν κάνετε αποθήκευση."
"Thumbnail","Μικρογραφία"
"Total %d records found","Βρεθήκαν συνολικά %d εγγραφές"
"Type","Τύπος"
"Unselect All","Αποεπιλογή όλων"
"Unselect Visible","Αποεπιλογή Ορατών"
"View","Προβολή"
"Widget","Γραφικό στοιχείο"
"Widget ID","ID γραφικού στοιχείου"
"Widget Insertion","Εισαγωγή Γραφικού Στοιχείου"
"Widget Options","Ρυθμίσεις Γραφικού Στοιχείου"
"Widget Type","Τύπος γραφικού στοιχείου"
"Widgets","Γραφικό Στοιχείο"
"items selected","είδη επιλέχθηκαν"
"of %s pages","από %s σελίδες/α"
"per page","ανά σελίδα"
