"Abandoned Carts","Εγκαταλειμμένα Καλάθια"
"Abandoned carts","Εγκαταλειμμένα καλάθια"
"Action","Ενέργεια"
"Add to Cart","Προσθήκη στο Καλάθι"
"Add to Compare","Προσθήκη για Σύγκριση"
"Add to Wishlist","Προσθήκη στη Λίστα Επιθυμιών"
"Any","Κάθε"
"Applied Coupon","Εφαρμοσμένο κουπόνι"
"Are you sure?","Είσαι σίγουρος;"
"Bestsellers","Δημοφιλέστερα"
"Bought from wishlists","Αγορασμένα από τα επιθυμιτά"
"Carts","Καλάθια"
"Compared Products Grid Template","Πρότυπο Πλέγματος Συγκρινόμενων Προϊόντων"
"Compared Products List Template","Πρότυπο Λίστας Συγκρινόμενων Προϊόντων"
"Coupons","Κουπόνια"
"Coupons Usage Report","Αναφορά Χρήσεων Κουπονιών"
"Created At","Δημιουργήθηκε στις"
"Current Month Starts","Τρέχον Μήνα Έναρξη"
"Customer","Πελάτης"
"Customer Name","Όνομα Πελάτη"
"Customer Tags","Ετικέτες Πελάτη"
"Customers","Πελάτες"
"Customers Report","Αναφορά Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Customers Tags","Ετικέτες Πελατών"
"Customers by Number of Orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by Orders Total","Πελάτες ανα Συνολο Παραγγελιών"
"Customers by number of orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by orders total","Πελάτες ανά σύνολα παραγγελιών"
"Customers that have wishlist: %s%","Πελάτες που έχουν λίστα επιθυμητών: %s%"
"Dashboard","Πίνακας Ελέγχου"
"Day","Ημέρα"
"Default Recently Compared Products Count","Προεπιλεγμένη Καταμέτρηση Προϊόντων που Συγκρίθηκαν Πρόσφατα"
"Default Recently Viewed Products Count","Προεπιλεγμένη Καταμέτρηση Προϊόντων που Προβλήθηκαν Πρόσφατα"
"Description","Περιγραφή"
"Detail","Λεπτομέρεια"
"Downloads","Μεταφορτώσεις"
"Empty Rows","Κενές γραμμές"
"Filter","Φίλτρο"
"First Name","Όνομα"
"From","Από"
"General","Γενικά"
"Guest","Επισκέπτης"
"Hits","Επιτυχίες"
"IP Address","Διεύθυνση IP"
"Invoiced","Τιμολογημένα"
"Items in Cart","Είδη στο Καλάθι"
"Last Name","Επώνυμο"
"Last Review","Τελευταία Αξιολόγηση"
"Link","Σύνδεσμος"
"List of Products Recently Viewed by Visitor","Κατάλογος των προϊόντων που πρόσφατα προβλήθηκαν από επισκέπτη"
"Low Stock","Χαμηλό απόθεμα"
"Low stock","Χαμηλό απόθεμα"
"Month","Μήνας"
"Most Viewed","Περισσότερο εμφανισμένα"
"Name","Όνομα"
"New Accounts","Νέοι Λογαριασμοί"
"No","Όχι"
"Number Added","Αριθμός Προστέθηκε"
"Number Fulfilled","Αριθμός Συμπληρώθηκε"
"Number Of Reviews","Αριθμός Αξιολογήσεων"
"Number Purchased","Αριθμός Αγορών"
