"10 minutes","10 λεπτά"
"15 minutes","15 λεπτά"
"20 minutes","20 λεπτά"
"30 minutes","30 λεπτά"
"5 minutes","5 λεπτά"
"Daily","Καθημερινά"
"Failure History Lifetime","Διάρκεια ζωής Ιστορικού Αποτυχιών"
"Generate Schedules Every","Δημιουργήσετε χρονοδιαγράμματα κάθε"
"History Cleanup Every","Καθαρισμός Ιστορικού Κάθε"
"Hourly","Ωριαία"
"Minute Intervals","Διαστήματα Λεπτού"
"Missed if Not Run Within","Αποτυγχάνει εάν δεν εκτελεστεί εντός"
"Monthly","Μηνιαία"
"Schedule Ahead for","Προγραμματισμένη μπροστά για"
"Success History Lifetime","Διάρκεια ζωής Ιστορικού Επιτυχιών"
"Unable to delete the cron task.","Δεν είναι δυνατό να διαγράψετε την εργασία cron."
"Weekly","Εβδομαδιαία"
