"%s and greater","%s και μεγαλύτερο"
"Advanced Search","Σύνθετη Αναζήτηση"
"All","Όλα"
"Catalog Advanced Search","Προχωρημένη αναζήτηση καταλόγου"
"Catalog Search","Αναζήτηση στον κατάλογο"
"Don't see what you're looking for?","Δεν βλέπετε αυτό που ψάχνετε;"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"Grid","Πλέγμα"
"Home","Αρχική"
"List","Λίστα"
"Maximum Query Length","Μέγιστο Μήκος Ερωτήματος"
"Minimal Query Length","Ελάχιστο Μήκος Ερωτήματος"
"Modify your search","Τροποποιήστε την αναζήτησή σας"
"No","Όχι"
"Popular Search Terms","Δημοφιλείς Όροι Αναζήτησης"
"Rebuild Catalog product fulltext search index","Επαναδημιουργία του ευρετηρίου της αναζήτησης πλήρους κειμένου προϊόντων καταλόγου"
"Relevance","Συναφή"
"Results","Αποτελέσματα"
"Search","Αναζήτηση"
"Search Settings","Ρυθμίσεις αναζήτησης"
"Search Terms","Όροι Αναζήτησης"
"Search entire store here...","Αναζήτηση σε όλο το κατάστημα..."
"Search results for '%s'","Αποτελέσματα αναζήτησης για '%s'"
"Search results for: '%s'","Αποτελέσματα αναζήτησης για: '%s'"
"Subscribe to Feed","Εγγραφή στο Feed"
"There are no search terms available.","Δεν υπάρχει καμία αναζήτηση όρων διαθέσιμη."
"Yes","Ναί"
"Your search returns no results.","Η αναζήτησή σας δεν επιστρέφει αποτελέσματα."
"up to %s","έως %s"
