"%s Item(s)","%s Προϊόν(τα)"
"(ver. %s)","(έκδ. %s)"
"-- Please Select --","--Παρακαλώ επιλέξτε--"
"1 column","1 στήλη"
"2 columns with left bar","2 στήλες με αριστερή μπάρα"
"2 columns with right bar","2 στήλες με μπάρα στα δεξιά"
"3 columns","3 στήλες"
"About the calendar","Σχετικά με το ημερολόγιο"
"Account","Λογαριασμός"
"All Pages","Όλες οι Σελίδες"
"Allow","Να επιτρέπεται"
"Close","Κλείσιμο"
"Close Window","Κλείσιμο Παραθύρου"
"Default welcome msg!","Προπιλεγμένο μήνυμα καλωσορίσματος!"
"Empty","Κενό"
"Go Today","Στο Σήμερα"
"Help Us to Keep Magento Healthy","Βοηθείστε μας να κρατήσουμε το Magento υγιές"
"Interface Language","Γλώσσα Διασύνδεσης"
"Items %s to %s of %s total","Είδη %s εώς %s από %s στο σύνολο"
"JavaScript seems to be disabled in your browser.","Η JavaScript φαίνεται να είναι απενεργοποιημένη στο πρόγραμμα περιήγησης σας."
"Left Column","Αριστερή Στήλη"
"Menu","Μενού"
"Next","Επόμενο"
"Page:","Σελίδα:"
"Previous","Προηγούμενο"
"Report All Bugs","Αναφορά Όλων των Σφαλμάτων"
"Right Column","Δεξιά Στήλη"
"Search","Αναζήτηση"
"Select Store","Επιλέξτε κατάστημα"
"Show","Εμφάνιση"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Αυτό είναι ένα demo κατάστημα. Οποιαδήποτε παραγγελία μέσα σε αυτό το κατάστημα δεν θα εκτελείται ή δεν θα παραδίδεται"
"View All","Προβολή Όλων"
"Welcome, %s!","Καλως Ήρθατε, %s!"
"Your Language","Η γλώσσα σας"
"Your Language:","Η γλώσσα σας:"
"per page","ανά σελίδα"
