"-- Please Select --","-- โปรดเลือก-"
"Add to Cart","เพิ่มในตะกร้าสินค้า"
"Choose an Option...","เลือกตัวเลือก..."
"Enabled","เปิดใช้งาน"
"General Settings","การตั้งค่าทั่วไป"
"In Stock","มีสินค้า"
"Out of Stock","สินค้าหมดคลังสินค้า"
"Previous","ก่อนหน้านี้"
"Remove This Item","ลบรายการสินค้านี้ออก"
