"-- Please Select --","-- โปรดเลือก-"
"Add New Class","เพิ่มคลาสใหม่"
"Add New Tax Rate","เพิ่มอัตราภาษีใหม่"
"Add New Tax Rule","เพิ่มข้อกำหนดภาษีใหม่"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำเช่นนี้"
"Back","ย้อนกลับ"
"CSV","ไฟล์ CSV"
"Class Name","ชื่อคลาส"
"Code","รหัส"
"Country","ประเทศ"
"Customer Tax Class Information","ข้อมูลคลาสภาษีของลูกค้า"
"Customer Tax Classes","คลาสภาษีลูกค้า"
"Default Country","ประเทศ ค่าตั้งต้น"
"Delete Class","ลบคลาส"
"Delete Rate","ลบอัตรา"
"Delete Rule","ลบข้อกำหนด"
"Edit Class","แก้ไขคลาส"
"Edit Class '%s'","แก้ไขคลาส '%s'"
"Edit Rule","แก้ไขข้อกำหนด"
"Edit Tax Rate","แก้ไขอัตราภาษี"
"Excl. Tax","ไม่รวมภาษี"
"Export Tax Rates","ส่งออกอัตราภาษี"
"Import / Export Tax Rates","นำเข้า/ส่งออก อัตราภาษี"
"Import Tax Rates","นำเข้าอัตราภาษี"
"Inc. Tax","รวมภาษี"
"Incl. Tax","รวมภาษี"
"Invalid file format upload attempt","ความพยายามอัพโหลดไฟล์ที่ รูปแบบ ไม่ถูกต้อง"
"Invalid file upload attempt","ความพยายามอัพโหลดไฟล์ไม่ถูกต้อง"
"Product Tax Classes","คลาสภาษีสินค้า"
"Tax Rules","ข้อกำหนดภาษี"
"Name","ชื่อ"
"New Class","คลาสใหม่"
"New Rule","ข้อกำหนดใหม่"
"New Tax Rate","อัตราภาษีใหม่"
"No","ไม่"
"None","ไม่มี"
"Priority","ระดับความสำคัญ"
"Product Tax Class Information","ข้อมูลคลาสภาษีของสินค้า"
"Reset","รีเซ็ต"
"Row Total","แถวทั้งหมด"
"Save Class","บันทึกคลาส"
"Save Rate","บันทึกอัตรา"
"Save Rule","บันทึกข้อกำหนด"
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Sort Order","การเรียงลำดับ"
"State","รัฐ"
"State/Region","รัฐ/ภูมิภาค"
"Tax","ภาษี"
"Tax Rate","อัตราภาษี"
"Tax Rate Information","ข้อมูลอัตราภาษี"
"Tax Rule Information","ข้อมูลข้อกำหนดภาษี"
"This class no longer exists","ไม่มีคลาสนี้"
"This rule no longer exists","ไม่มีข้อกำหนดนี้"
"This rule no longer exists.","เงื่อนไขนี้ไม่มีอยู่แล้ว"
"Total","รวม"
"Unit Price","ราคาต่อหน่วย"
"Yes","ใช่"
"You cannot delete this tax class as it is used for %d customer groups.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้สำหรับ %d กลุ่มลูกค้า"
"You cannot delete this tax class as it is used for %d products.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้สำหรับ %d สินค้า"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","คุณไม่สามารถลบคลาสภาษีนี้ได้เนื่องจากถูกใช้ในข้อกำหนดภาษี คุณต้องลบข้อกำหนดที่คลาสถูกใช้ก่อน"
"Zip/Post Code","รหัสไปรษณีย์"
