"ALL","ทั้งหมด"
"ANY","ใดๆ"
"Add","เพิ่มใหม่"
"Apply","นำไปใช้"
"Conditions Combination","การรวมเงื่อนไข"
"FALSE","ผิด"
"If %s of these conditions are %s:","ถ้า %s ของเงื่อนไขเหล่านี้ %s:"
"Open Chooser","เปิดที่เลือก"
"Perform following actions","ให้ดำเนินการดังต่อไปนี้"
"Please choose a condition to add...","กรุณาเลือกเงื่อนไขที่จะเพิ่ม..."
"Please choose an action to add...","กรุณาเลือกการกระทำที่จะเพิ่ม..."
"Remove","ลบ"
"TRUE","ถูกต้อง"
"by","โดย"
"from","จาก"
"to","ถึง"
