"Actions","การดำเนินการ"
"Active","ใช้งานอยู่"
"Add New Rule","เพิ่มข้อกำหนดใหม่"
"Apply","นำไปใช้"
"Apply Rules","นำข้อกำหนดไปใช้"
"Attribute Set","ชุดแอตทริบิวต์"
"By Fixed Amount","โดยจำนวนทีคงที่"
"Catalog","แค็ตตาล็อก"
"Catalog Price Rule","การควบคุมราคาสินค้าในรายการ"
"Catalog Price Rules","การควบคุมราคาสินค้าในรายการ"
"Category","หมวดหมู่"
"Conditions","เงื่อนไข"
"Conditions (leave blank for all products)","เงื่อนไข(ปล่อยว่างไว้สำหรับทุกสินค้า)"
"Conditions Combination","การรวมเงื่อนไข"
"Customer Groups","กลุ่มลูกค้า"
"Date Expire","วันที่หมดอายุ"
"Date From","วันที่เริ่มต้น"
"Date Start","วันที่เริ่ม"
"Date To","ถึงวันที่"
"Description","รายละเอียด"
"Discount Amount","จำนวนส่วนลด"
"Edit Rule","แก้ไขข้อกำหนด"
"Edit Rule '%s'","แก้ไขข้อกำหนด '%s'"
"Expiration Date","วันหมดอายุ"
"From Date","จากวันที่"
"General Information","ข้อมูลทั่วไป"
"ID","ไอดี"
"Inactive","ไม่ใช้งาน"
"New Rule","ข้อกำหนดใหม่"
"No","ไม่"
"Options","ตัวเลือก"
"Priority","ระดับความสำคัญ"
"Product Attribute","คุณลักษณะสินค้า"
"Promotions","โปรโมชั่น"
"Rule Information","คำอธิบายเงื่อนไข"
"Rule Name","ชื่อเงื่อนไข"
"Save and Apply","บันทึกและนำไปใช้"
"Save and Continue Edit","บันทึก และแก้ไขต่อไป"
"Start Date","วันที่เริ่มต้น"
"Status","สถานะ"
"This rule no longer exists.","เงื่อนไขนี้ไม่มีอยู่แล้ว"
"To Date","ถึงวันที่"
"To Fixed Amount","จำนวนคงที่ถึง"
"Type","ชนิด"
"Update product's %s %s: %s","แก้ไขสินค้า %s %s: %s"
"Website","เว็บไซต์"
"Websites","เว็บไซต์"
"Yes","ใช่"
