"%s and greater","%s และมากกว่า"
"Advanced Search","ค้นหาขั้นสูง"
"All","ทั้งหมด"
"Catalog Advanced Search","การค้นหาขั้นสูงในรายการสินค้า"
"Go","ค้นหา"
"Go to Home Page","ไปยังหน้าหลัก"
"Grid","ตาราง"
"Home","หน้าหลัก"
"List","รายการ"
"Modify your search","ปรับแต่งการค้นหา"
"No","ไม่"
"Popular Search Terms","คำค้นหายอดนิยม"
"Results","ผลลัพธ์"
"Search","ค้นหา"
"Search Settings","ตั้งค่าการค้นหา"
"Search Terms","คำที่ใช้ค้นหา"
"Search Type","รูปแบบการค้นหา"
"Search entire store here...","ค้นหาสินค้าจากทั้งร้านที่นี่..."
"Search results for '%s'","ผลการค้นหาสำหรับ '%s'"
"Search results for: '%s'","ผลการค้นหาสำหรับ: '%s'"
"Subscribe to Feed","สมัครสมาชิก Feed"
"There are no search terms available.","ไม่มีคำที่ค้นหา"
"Yes","ใช่"
"Your search returns no results.","ไม่มีผลลัพธ์สำหรับการค้นหาของคุณ"
"up to %s","เพิ่มถึง %s"
