"Add Recipient","เพิ่มผู้รับ"
"Allow for Guests","อนุญาตสำหรับผู้เยี่ยมชม"
"Back","ย้อนกลับ"
"Email Address","อีเมล"
"Email Address:","อีเมล:"
"Email to a Friend","ส่งอีเมล์ถึงเพื่อน"
"Email:","อีเมล:"
"Enabled","เปิดใช้งาน"
"Limit Sending By","จำกัดการส่งโดย"
"Max Products Sent in 1 Hour","จำนวนสินค้าสูงสุดที่ส่งไปภายใน 1 ชั่วโมง"
"Max Recipients","จำนวนผู้รับสูงสุด"
"Maximum %d email addresses allowed.","จำนวนอีเมลล์สูงสุดที่อนุญาต %d อีเมลล์"
"Message:","ข้อ​ความ:"
"Name","ชื่อ"
"Name:","ชื่อ:"
"Recipient:","ผู้รับ:"
"Remove Email","ลบอีเมลล์ออก"
"Send product to a friend","ส่งสินค้าไปให้เพื่อน"
"Sender:","ผู้ส่ง:"
