"Currency","สกุลเงิน"
"Currency Rates","อัตราแลกเปลี่ยนสกุลเงิน"
"Rates","อัตรา"
"Save Currency Symbols","บันทึก สัญญลักษณ์ สกุลเงิน"
"System","ระบบ"
"Use Standard","ใช้มาตรฐาน"
