"Actions","การดำเนินการ"
"Add Answer","เพิ่มคำตอบ"
"Add New Answer","เพิ่มคำตอบใหม่"
"Add New Poll","เพิ่มโพลใหม่"
"Answer Title","หัวข้อคำตอบ"
"Answer Title:","หัวข้อคำตอบ:"
"Answer with the same title in this poll","คำตอบที่มี หัวข้อเหมือนกันในโพลนี้"
"Are you sure you want to delete it?","คุณแน่ใจว่าต้องการลบ?"
"Assigned Answers","คำตอบที่ถูกกำหนดให้"
"Closed","ปิดแล้ว"
"Community Poll","กลุ่มโพล"
"Date Closed","วันที่ปิด"
"Date Posted","วันที่โพส"
"Delete","ลบ"
"Delete Answer","ลบคำตอบ"
"Delete Poll","ลบโพล"
"Edit Answer '%s'","แก้ไข '%s'"
"Edit Poll '%s'","แก้ไขโพล '%s'"
"Edit Poll Answer","แก้ไขคำตอบโพล"
"ID","ไอดี"
"New Poll","โพลใหม่"
"Number of Responses","จำนวนการตอบ"
"Open","เปิด"
"Poll Answers","คำตอบโพล"
"Poll Information","ข้อมูลโพล"
"Poll Manager","การจัดการโพล"
"Poll Question","คำถามโพล"
"Poll information","ข้อมูลโพล"
"Poll with the same question","โพลที่มีคำถามเดียวกัน"
"Save Answer","บันทึกคำตอบ"
"Save Poll","บันทึกโพล"
"Status","สถานะ"
"Visible In","สามารถเห็นได้ใน"
"Vote","โหวต"
"Votes Count","นับการโหวต"
"Votes Count:","นับการโหวต:"
