"-- Please Select --","-- โปรดเลือก-"
"Attribute Code","รหัสแอตทริบิวต์"
"Attribute Label","ป้ายคุณลักษณะ"
"CSV","ไฟล์ CSV"
"Customers","ลูกค้า"
"Entity Type","ประเภท เอกลักษณ์"
"Export","ส่งออก"
"From","จาก"
"Import","นำเข้า"
"Import/Export","นำเข้า/ส่งออก"
"Products","สินค้า"
"Status","สถานะ"
"There are no product types available for export","ไม่มีประเภทสินค้าที่สามารถส่งออกได้"
"To","ถึง"
