"Add","เพิ่มใหม่"
"Add New Role","เพิ่มบทบาทใหม่"
"Admin","ผู้ดูแลระบบ"
"Assigned","กำหนด"
"Attribute Set","ชุดแอตทริบิวต์"
"Attributes","คุณสมบัติ"
"Back","ย้อนกลับ"
"Backorders","คำสั่งซื้อล่วงหน้า"
"Catalog","แค็ตตาล็อก"
"City","เมือง"
"Company","บริษัท"
"Country","ประเทศ"
"Coupon Code","รหัสคูปอง"
"Create","สร้าง"
"Customer","ลูกค้า"
"Delete","ลบ"
"Discount","ส่วนลด"
"Discount Amount","จำนวนส่วนลด"
"Edit","แก้ไข"
"Edit Role","แก้ไขบทบาท"
"Email","อีเมล"
"Exclude","ไม่รวม"
"First Name","ชื่อ"
"Gift Message","ข้อความสำหรับของขวัญ"
"Grand Total","รวมทั้งหมด"
"Group","กลุ่ม"
"Guest","ผู้ใช้ทั่วไป"
"ID","ไอดี"
"Label","ป้าย"
"Last Name","นามสกุล"
"Maximum Qty Allowed in Shopping Cart","จำนวนมากที่สุดที่อนุมัติในรถเข็น"
"Minimum Qty Allowed in Shopping Cart","จำนวนที่น้อยที่สุดที่อนุมัติในรถเข็น"
"Notify for Quantity Below","แจ้งเตือนสำหรับปริมาณที่ลดลง"
"Order","รายการสั่งซื้อ"
"Order Comments","ข้อคิดเห็นคำสั่งซื้อ"
"Order Date","วันที่สั่งซื้อ"
"Order Status","สถานะการสั่งซื้อ"
"Orders","รายการสั่งซื้อ"
"Payment Method","วิธีการชำระเงิน"
"Phone Number","เบอร์โทรศัพท์"
"Position","ตำแหน่ง"
"Price","ราคา"
"Product","สินค้า"
"Product ID","รหัส สินค้า"
"Product Type","ประเภทสินค้า"
"Qty","จำนวน"
"Qty Uses Decimals","จำนวนทศนิยมที่ใช้"
"Role Info","ข้อมูลบทบาท"
"Role Information","ข้อมูลบทบาท"
"Role Name","ชื่อบทบาท"
"Role Users","บทบาทผู้ใช้"
"Roles","บทบาท"
"SKU","รหัสสินค้า"
"Save","บันทึก"
"Shipping Amount","จำนวนเงินค่าขนส่ง"
"Shipping Method","วิธีการส่งสินค้า"
"State","รัฐ"
"Stock Availability","มีสินค้าในคลังสินค้า"
"Store Name","ชื่อร้านค้า"
"Subtotal","ผลรวมย่อย"
"System","ระบบ"
"Tax Amount","จำนวนภาษี"
"Tax Rate","อัตราภาษี"
"Total Due","ยอดทั้งหมดที่ต้องชำระ"
"Total Paid","จำนวนที่จ่ายแล้วทั้งหมด"
"Total Refunded","จำนวนเงินที่คืนทั้งหมด"
"Type","ชนิด"
"Update","อัพเดท"
"ZIP/Postal Code","รหัสไปรษณีย์"
