"Done","เสร็จสิ้น"
"Less than a minute","น้อยกว่านาที"
"Memory Used: %s","ใช้หน่วยความจำไป: %s"
"Processed records: %s","รายการที่ดำเนินการแล้ว: %s"
"Starting %s :: %s","กำลังเริ่ม %s :: %s"
"Total records: %s","รายการทั้งหมด: %s"
"hour","ชั่วโมง"
"hours","ชั่วโมง"
"minute","นาที"
"minutes","นาที"
