"Add","Legg til"
"Add New Row","Legg til ny rad"
"Availability:","Tilgjengelighet:"
"Back","Tilbake"
"Canceled","Avbrutt"
"Date","Dato"
"Delete","Slett"
"Downloadable Information","Nedlastbar informasjon"
"Edit","Redigere"
"Edit item parameters","Rediger parametere"
"Excl. Tax","ex. moms"
"File","Fil"
"From:","Fra:"
"Gift Message","Gavemelding"
"In stock","På lager"
"Incl. Tax","Inkl. MVA"
"Invoiced","Fakturert"
"List","Liste"
"Message:","Melding:"
"Move","Flytt"
"My Downloadable Products","Mine nedlastbare produkter"
"Order #","Ordre #"
"Ordered","Bestilt"
"Out of stock","Ikke på lager"
"Pending","Ventende"
"Price","Pris"
"Qty","Antall"
"Refunded","Refundert"
"Remove","Fjern"
"Remove Item","Fjern produkt"
"SKU","Varenummer"
"Sample","Eksempel"
"See price before order confirmation.","Se priser før ordrebekreftelse."
"Shipped","Sendt"
"Sort Order","Sorteringsrekkefølge"
"Start Download","Start nedlasting"
"Subtotal","Delsum"
"The link has expired.","Linken er utløpt."
"Title","Tittel"
"To:","Til:"
"Unlimited","Ubegrenset"
"Update","Oppdater"
"Use Default Value","Bruk standardverdi"
"View Order","Vis bestilling"
"What's this?","Hva er dette?"
"You have not purchased any downloadable products yet.","Du har ikke kjøpt nedlastbare produkter enda."
"download","last ned"
