"* Required Fields","* Nødvendige felt"
"Add All to Cart","Legg alt i handlekurv"
"Add to Cart","Legg i handlekurv"
"Add to Compare","Legg til sammenligning"
"Add to Wishlist","Legg i ønskelisten"
"Back","Tilbake"
"Cannot specify product.","Kan ikke spesifisere produkt."
"Click for price","Klikk for pris"
"Comment","Kommentar"
"Comment:","Kommentar:"
"Date Added","Dato lagt til"
"Edit","Redigere"
"Email Sender","E-post avsender"
"Email Template","E-post mal"
"Email addresses, separated by commas","E-postadresser, adskilt med komma"
"Enabled","Aktivert"
"General Options","Generelle alternativer"
"In stock","På lager"
"Last Added Items","Siste tillagte varer"
"Message","Beskjed"
"Options Details","Valg for detaljer"
"Out of stock","Ikke på lager"
"Price","Pris"
"Product","Produkt"
"Product Details and Comment","Produktdetaljer og kommentar"
"Qty","Antall"
"RSS Feed","RSS-feed"
"Remove Item","Fjern produkt"
"Remove This Item","Fjern denne varen"
"Remove item","Fjern produkt"
"SKU","Varenummer"
"Share Options","Alternativer for deling"
"Sharing Information","Delingsinformasjon"
"User Description","Bruker Beskrivelse"
"View Details","Vis detaljer"
"View Product","Vis produkt"
"What's this?","Hva er dette?"
"Wishlist","Ønskeliste"
