"Actions","Handlinger"
"Active","Aktiv"
"Add New Rule","Legg til ny regel"
"Apply","Anvend"
"Apply Rules","Bruke regler"
"Attribute Set","Attributtsett"
"Catalog","Katalog"
"Catalog Price Rule","Katalog prisregel"
"Category","Kategori"
"Conditions","Betingelser"
"Conditions Combination","Betingelsekombinasjon"
"Customer Groups","Kundegrupper"
"Date From","Dato fra"
"Date To","Dato til"
"Description","Beskrivelse"
"Discount Amount","Rabattbeløp"
"Edit Rule","Rediger regel"
"Expiration Date","Utløpsdato"
"General Information","Generell Informasjon"
"ID","Id"
"Inactive","Inaktiv"
"New Rule","Ny regel"
"No","Nei"
"Options","Innstillinger"
"Priority","Prioritet"
"Product Attribute","Produkt-attributt"
"Promotions","Kampanjer"
"Rule Information","Regel-informasjon"
"Rule Name","Regelnavn"
"Save and Apply","Lagre og bruk"
"Save and Continue Edit","Lagre og fortsett redigering"
"Start Date","Startdato"
"This rule no longer exists.","Denne regelen finnes ikke lenger."
"Website","Nettsted"
"Websites","Nettsider"
"Yes","Ja"
