"Add Minimum Qty","Legg til minimum antall"
"Allow Qty Below 0","Tillate antall under 0"
"Allow Qty Below 0 and Notify Customer","Tillate antall under 0 og gi kunde beskjed"
"Backorders","Restordre"
"Display Out of Stock Products","Vis varer som ikke er på lager"
"Enable Qty Increments","Aktiver antall intervaller"
"In Stock","På lager"
"Inventory","Lager"
"Manage Stock","Administrer lager"
"Maximum Qty Allowed in Shopping Cart","Maksimum antall tillatt i handlekurv"
"Minimum Qty","Minimum antall"
"Minimum Qty Allowed in Shopping Cart","Minimum antall tillatt i handlekurv"
"No Backorders","Ingen restordrer"
"Notify for Quantity Below","Varsle om antall nedenfor"
"Out of Stock","Ikke på lager"
"Product Name","Produktnavn"
"Products will still be shown by direct product URLs.","Produkter vil fremdeles være vist ved direkte produkt url."
"Qty","Antall"
"Qty Increments","Antall intervaller"
"Rule price","Regel pris"
"Stock Options","Lager alternativer"
"Stock Status","Lagerstatus"
"The stock item for Product in option is not valid.","Lagervare for produktet i alternativet er ikke gyldig."
"To Fixed Value","Til fast verdi"
"To Percentage","Til prosent"
"Update","Oppdater"
"Update the Product","Oppdater dette produktet"
