"Advanced Search","Avansert søk"
"All","Alle"
"Catalog Advanced Search","Katalog Avansert søk"
"Catalog Search","Katalog søk"
"Don't see what you're looking for?","Finner du ikke det du leter etter?"
"Go to Home Page","Gå til hjemmesiden"
"Grid","Rutenett"
"Home","Hjem"
"List","Liste"
"Maximum Query Length","Maksimal spørringen lengde"
"Minimal Query Length","Minimal spørringen lengde"
"No","Nei"
"Popular Search Terms","Populære søkeord"
"Rebuild Catalog product fulltext search index","Gjenoppbygge katalogen produktet fulltext søkeindeksen"
"Relevance","Relevans"
"Results","Resultater"
"Search","Søk"
"Search Settings","Søkeinnstillinger"
"Search Terms","Søkeord"
"Search entire store here...","Søk i hele butikken her..."
"There are no search terms available.","Det er ingen søkeord."
"Yes","Ja"
