"-- Please Select --","-Vennligst velg--"
"1 column","1 kolonne"
"2 columns with left bar","2 kolonner med venstre stolpe"
"2 columns with right bar","2 kolonner med høyre stolpe"
"3 columns","Tre kolonner"
"About the calendar","Om kalenderen"
"Account","Konto"
"All Pages","Alle Sider"
"Allow","Tillat"
"Close","Lukk"
"Close Window","Lukk vindu"
"Default welcome msg!","Standard velkommen msg!"
"Empty","Tom"
"Go Today","I Dag"
"JavaScript seems to be disabled in your browser.","JavaScript kan være deaktivert i din nettleseren."
"Left Column","Venstre kolonne"
"Menu","Meny"
"Next","Neste"
"Page:","Side:"
"Previous","Forrige"
"Report All Bugs","Rapporter alle feil"
"Right Column","Høyre kolonne"
"Search","Søk"
"Select Store","Velg en butikk"
"Show","Vis"
"View All","Vis alle"
"Your Language","Ditt språk"
"Your Language:","Ditt språk:"
"per page","per side"
