"-- Please Select --","-Vennligst velg--"
"Add New Class","Legg til ny klasse"
"Add New Tax Rate","Legg til ny skatteregel"
"Add New Tax Rule","Legg til ny skatteregel"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Back","Tilbake"
"Before Discount","Før rabatt"
"Catalog Prices","Katalogpris"
"Code","Kode"
"Country","Land"
"Default Country","Standardland"
"Delete Rate","Slett forhold"
"Delete Rule","Slett regelen"
"Display Full Tax Summary","Vis full mva-sammendrag"
"Display Subtotal","Vise delsum"
"Display Zero Tax Subtotal","Vise null mva delsum"
"Edit Rule","Rediger regel"
"Excl. Tax","ex. moms"
"Excluding Tax","Ekskludert Skatt"
"Export Tax Rates","Eksportere skattesatser"
"Grand Total (Excl.Tax)","Totalsum (eks. mva)"
"Grand Total (Incl. Tax)","Totalsum (inkl. mva)"
"Grand Total (Incl.Tax)","Totalsum (inkl. mva)"
"Grand Total Excl. Tax","Total uten mva"
"Grand Total Incl. Tax","Total inkl mva"
"Import Tax Rates","Importere skattesatser"
"Inc. Tax","Inkl. mva"
"Incl. Tax","Inkl. MVA"
"Including Tax","Inkludert Skatt"
"Invalid file upload attempt","Ugyldig filopplasting forsøk"
"Manage Tax Rules","Administrer skatteregler"
"Name","Navn"
"New Rule","Ny regel"
"No","Nei"
"None","Ingen"
"Priority","Prioritet"
"Product Tax Class","Produkt Skatteklasse"
"Range From","Rekkevidde fra"
"Range To","Rekkevidde til"
"Reset","Nullstill"
"Row Total","Rader Totalt"
"Sales","Salg"
"Save Rate","Lagre forhold"
"Save Rule","Lagre regel"
"Save and Continue Edit","Lagre og fortsett redigering"
"Shipping & Handling (Excl.Tax)","Frakt & håndtering (eks. mva)"
"Shipping & Handling (Incl.Tax)","Frakt & håndtering (inkl. mva)"
"Shipping Prices","Fraktpris"
"Sort Order","Sorteringsrekkefølge"
"State","Fylke"
"Subtotal (Excl. Tax)","Delsum (ekskl. mva)"
"Subtotal (Excl.Tax)","Delsum (eks. mva)"
"Subtotal (Incl. Tax)","Delsum (inkl. mva)"
"Subtotal (Incl.Tax)","Delsum (inkl. mva)"
"Tax","Avgift"
"Tax Calculation Based On","Skatteberegning basert på"
"Tax Classes","Skatt Klasser"
"Tax Identifier","Skatt identifikator"
"Tax Rate","Skattesats"
"Tax Rate Information","Skatteinformasjon"
"Tax Rule Information","Skatteinformasjon"
"Tax Titles","Skatt titler"
"Tax rates at the same priority are added, others are compounded.","Skattesatser med samme prioritet er lagt til, andre er sammensatt."
"The tax rate has been imported.","Skattesatsen er importert."
"This rule no longer exists.","Denne regelen finnes ikke lenger."
"Total","Totalt"
"Unit Price","Enhetspris"
"Yes","Ja"
"Zip/Post Code","Postnummer"
"Zip/Post is Range","Zip/Post rekkevidde er"
