"Action","Действие"
"Delete","Изтрий"
"Description","Описание"
"Disable","Деактивиране"
"Enable","Разреши"
"General","Главен"
"Index Management","Управление на индексирането"
"Mode","Режим"
"Never","Никога"
"No","Не"
"Processing","Обработва се"
"Ready","Готово"
"Refresh","Обновяване"
"Status","Статус"
"System","Системи"
"Update on Save","Актуализиране при записване"
"Updated At","Актуализирано на"
"Yes","Да"
