"%s and greater","%s и повече"
"<strong>%d item(s)</strong> were found using the following search criteria","Намерени са <strong>%d артикул(а)</strong> с посочените критерии за търсене"
"Advanced Search","Разширено търсене"
"All","Всички"
"Catalog Advanced Search","Подробно каталожно търсене"
"Catalog Search","Каталог, Търсене"
"Don't see what you're looking for?","Не намирате каквото търсите?"
"Go","Продължи"
"Go to Home Page","Отиди на основата страница"
"Grid","Решетка"
"Home","Основна страница"
"List","Списък"
"Maximum Query Length","Максимална дължина на заявката"
"Maximum Query Words Count","Максимален брой думи"
"Minimal Query Length","Минимална дължина на заявката"
"Modify your search","Коригирайте критериите за търсене"
"No","Не"
"No items were found using the following search criteria.","Няма намерени артикули, удовлетворяващи посочените критерии за търсене."
"Popular Search Terms","Популярни думи за търсене"
"Rebuild Catalog product fulltext search index","Възстановяване на търсене на пълнотекстов индекс на продукт в каталога"
"Relevance","Приложимост"
"Results","Резултати"
"Search","Търсене"
"Search Settings","Настройки на търсене"
"Search Terms","Термини за търсене"
"Search Type","Тип търсене"
"Search entire store here...","Търсене в целия магазин..."
"Search results for '%s'","Резултати за '%s'"
"Search results for: '%s'","Резултати: '%s'"
"Subscribe to Feed","Абонирайте се за емисията"
"There are no search terms available.","Няма налични условия на търсене."
"Yes","Да"
"Your search returns no results.","Не са намерени резултати."
"up to %s","до %s"
