"Add Recipient","Добави получател"
"Allow for Guests","Позволи за гости"
"Back","Обратно"
"Email Address","Имейл адрес"
"Email Address:","Имейл адрес:"
"Email Templates","Имейл шаблони"
"Email to a Friend","Изпрати email на приятел"
"Email:","Имейл:"
"Enabled","Активиран"
"Invalid Sender Information","Невалиден подател информация"
"Limit Sending By","Лимитирай изпращането по"
"Max Products Sent in 1 Hour","Макс продукти, изпратени през 1 час"
"Max Recipients","Макс получатели"
"Maximum %d email addresses allowed.","Разрешени са максимум %d имейл адреси."
"Message:","Съобщение:"
"Name","Име"
"Name:","Име:"
"Recipient:","Получател:"
"Remove Email","Премахни имейл"
"Select Email Template","Изберете шаблон за имейл"
"Send Email","Изпращане на имейл"
"Send product to a friend","Изпрати продукт на приятел"
"Sender:","Подател:"
"Some emails were not sent.","Някои имейли не са изпратени."
"The link to a friend was sent.","Връзката към приятел е изпратена."
