"Actions","Действия"
"Active","Активно"
"Add New Rule","Добави ново правило"
"Apply","Приложи"
"Apply Rules","Приложи правила"
"Attribute Set","Групи атрибути"
"By Fixed Amount","По фиксирана сума"
"Catalog","Каталог"
"Catalog Price Rule","Правило за цени в каталога"
"Catalog Price Rules","Правило за цени в каталога"
"Category","Категория"
"Conditions","Условия"
"Conditions (leave blank for all products)","Условия (празно за прилагане към всички продукти)"
"Conditions Combination","Комбинация от условия"
"Customer Groups","Клиентски групи"
"Date Expire","Дата на изтичане"
"Date From","Дата от"
"Date Start","Начална дата"
"Date To","Дата до"
"Description","Описание"
"Discount Amount","Размер на отстъпката"
"Edit Rule","Промени правило"
"Edit Rule '%s'","Редакция на Правило '%s'"
"Expiration Date","Срок на валидност"
"From Date","От дата"
"General Information","Обща информация"
"ID","ИД"
"Inactive","Неактивен"
"New Rule","Ново правило"
"No","Не"
"Options","Опции"
"Priority","Приоритет"
"Product Attribute","Продукт атрибут"
"Promotions","Промоции"
"Rule Information","Информация за правилото"
"Rule Name","Име на правило"
"Save and Apply","Запази и приложи"
"Save and Continue Edit","Запази и продължи редактиране"
"Start Date","Начална дата"
"Status","Статус"
"This rule no longer exists.","Това правило вече не съществува."
"To Date","До дата"
"To Fixed Amount","Към фиксирана сума"
"Type","Тип"
"Update product's %s %s: %s","Обновяване %s %s на продукта: %s"
"Website","Уебсайт"
"Websites","Уеб сайтове"
"Yes","Да"
