"-- Please Select --","-- Моля изберете --"
"Add to Cart","Добави в количка"
"Choose an Option...","Избиране на действие..."
"Enabled","Активиран"
"General Settings","Основни настройки"
"Height","Височина"
"In Stock","В наличност"
"Out of Stock","Няма наличност"
"Previous","Назад"
"Remove This Item","Премахнете този елемент"
"Width","Ширина"
