"-- Please Select --","-- Моля изберете --"
"Attribute Code","Код на атрибута"
"Attribute Label","Атрибут етикет"
"Begin data validation","Започни проверка на данни"
"Cannot get autoincrement value","Не може да получи autoincrement стойност"
"Check Data","Проверка на данните"
"Customers","Клиенти"
"Delete Entities","Изтриване на обекти"
"Destination file is not writable","Целевият файл не е записваем"
"Entity Type","Тип стойност"
"Entity is unknown","Обектът е неизвестен"
"Export","Експорт"
"Export File Format","Формат за файл за експортиране"
"Export Settings","Настройки за експорт"
"File is valid! To start import process press ""Import"" button","Файлът е валиден! За да започнете импортиране натиснете ""Внос"" бутон"
"Filter","Филтър"
"From","От"
"Import","Импорт"
"Import Behavior","Поведение на импортиране"
"Import Settings","Импортиране на настройки"
"Import/Export","Импорт/Експорт"
"No valid data sent","Изпратени невалидни данни"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Коригирайте грешките и опитайте отново да качите файл, или просто натиснете бутон ""Внасяне"" за да пропуснете редовете с грешки"
"Products","Продукти"
"Select File to Import","Изберете файл за импортиране"
"Status","Статус"
"There are no product types available for export","Няма продуктови типове за експорт"
"To","До"
"Unknown attribute filter type","Открит е непознат атрибут филтър тип"
