"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Линк</a>"
"Done","Готово"
"Less than a minute","По-малко от минута"
"Memory Used: %s","Използвана памет: %s"
"Processed records: %s","Обработени записа: %s"
"Sheet 1","Страница 1"
"Starting %s :: %s","Стартиране %s :: %s"
"Total records: %s","Общо записи: %s"
"hour","час"
"hours","часа"
"minute","минута"
"minutes","минути"
