"ALL","ВСИЧКИ"
"ANY","ВСЕКИ"
"Add","Добави"
"Apply","Приложи"
"Conditions Combination","Комбинация от условия"
"FALSE","ФАЛШИВИ"
"If %s of these conditions are %s:","Ако %s от тези условия са %s:"
"Invalid discount amount.","Грешна стойност за отстъпка"
"Open Chooser","Отворен избор"
"Perform following actions","Извърши следните действия"
"Please choose a condition to add...","Моля изберете условие за добавяне"
"Please choose an action to add...","Моля изберете действие за добавяне"
"Remove","Премахване"
"TRUE","ВЯРНО"
"by","от"
"contains","съдържа"
"does not contain","не съдържа"
"does not contains","не съдържа"
"equals or greater than","е равно на или по-голяма от"
"equals or less than","е равно на или по-малко от"
"for","брой със"
"for greater than","за по-голяма от"
"for or greater than","за по-голяма или"
"found","намерен"
"from","от"
"greater than","по-голяма от"
"is","е"
"is not","не е"
"is not one of","не е един от"
"is one of","е един от"
"less than","по-малко от"
"not found","не е намерен"
"not from","не от"
"to","до"
"was","беше"
"was not","не беше"
