"Add","Добави"
"Allow Gift Messages for Order Items","Позволи съобщения подарък за поръчка артикули"
"Allow Gift Messages on Order Level","Позволи съобщения подарък на ниво поръчка"
"Are you sure?","Сигурни ли сте?"
"Cancel","Отказ"
"Do you have any gift items in your order?","Имате ли някакви подаръчни елементи във вашата поръчка?"
"Edit","Редактирай"
"From","От"
"Gift Message","Съобщение за подарък"
"Gift Options","Подарък опции"
"Gift Options for Individual Items","Подарък опции за отделни елементи"
"Item %d of %d","Продукт %d от %d"
"Message","Съобщение"
"No","Не"
"OK","ОК"
"Save Gift Message","Запишете съобщение подарък"
"To","До"
"Unknown entity type","Непознат обект тип"
"Use config","Използвай конфигурация"
"Yes","Да"
