"%1$s incl tax.","%1$s вкл. данък"
"* Required Fields","* Задължителни полета"
"-- Select --","-- Избери --"
"Add New Option","Добави нова опция"
"Add Selection","Добави селекция"
"As Low as","От"
"As low as","Цена от"
"Bundle Items","Продукти в комплект"
"Bundle Product","Пакетен продукт"
"Buy %1$s for %2$s","Закупуване на %1$s за %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Закупуване на %1$s за %2$s (%3$s вкл. данък) всеки"
"Buy %1$s for %2$s each","Закупуване на %1$s за %2$s всеки"
"Buy %1$s with %2$s discount each","Зкупете %1$ с %2$ отстъпка за всеки"
"Checkbox","Квадратче за отметка"
"Choose a selection...","Изберете селекция..."
"Click for price","Кликнете за цена"
"Close","Затвори"
"Default","По подразбиране"
"Default Qty","По подразбиране количество"
"Default Title","Заглавие по подразбиране"
"Drop-down","Падащо меню"
"Dynamic","Динамично"
"Excl. Tax","Без вкл. ДДС"
"Excl. Tax:","Без данък:"
"Fixed","Фиксиран"
"From","От"
"From:","От:"
"Gift Message","Съобщение за подарък"
"Incl. Tax","Вкл. Ддс"
"Incl. Tax:","С вкл. данък:"
"Input Type","Вмъкни тип"
"Is Required","Се изисква"
"Message:","Съобщение:"
"Multiple Select","Многоброен избор"
"N/A","Не е достъпно"
"No options of this product are available.","Няма налични опции за този продукт."
"None","Не"
"Percent","Процент"
"Percent Discount","Процент отстъпка"
"Please Select Products to Add","Моля, изберете продукти за добавяне"
"Please enter a number greater 0 in this field.","В това поле въведете число по-голямо от 0."
"Please enter search conditions to view products.","Моля, изберете критерии за търсене, за да видите продукти."
"Please select options for product.","Моля, изберете опции за продукта."
"Please specify product option(s).","Моля посочете продуктовите опции."
"Position","Позиция"
"Price Range","Ценови диапазон"
"Price Type","Тип цена"
"Price as configured","Цена според конфигурация"
"Qty:","Кол-во:"
"Radio Buttons","Радио бутони"
"SKU","Кат. номер"
"Separately","Отделно"
"Ship Bundle Items","Изпрати комплектованите продукти"
"Shipment","Доставка"
"Store View Title","Заглавие на изгледа на магазина"
"This product is also part of bundle(s)","Продуктът е също така и част от пакет(и)"
"To","До"
"To:","До:"
"Together","Заедно"
"Total incl. Tax: %1$s","Общо с данък: %1$s"
"Use Default Value","Използвай стойността по подразбиране"
"User Defined Qty","Потребителски дефинирано количество"
"and","и"
"each","всеки"
"save","запиши"
