"API Login ID","ID logowania API"
"Accepted Currency","Akceptowana waluta"
"Authorize Only","Tylko autoryzacja"
"Authorize and Capture","Autoryzuj i przechwyć"
"Cancel","Anuluj"
"Credit Card Types","Typy kart kredytowych"
"Credit Card Verification","Weryfikacja karty kredytowej"
"Debug","Tryb debug"
"Email Customer","Wyślij e-mail do klienta"
"Enabled","Włączone"
"Invalid amount for authorization.","Nieprawidłowa kwota do autoryzacji."
"Invalid amount for capture.","Nieprawidłowa ilość do przechwycenia."
"Invalid amount for refund.","Nieprawidłowa kwota do refundacji."
"Maximum Order Total","Maksymalna suma zamówienia"
"Merchant's Email","E-mail handlowca"
"Minimum Order Total","Minimalna suma zamówienia"
"New Order Status","Status nowego zamówienia"
"Payment Action","Akcja płatności"
"Payment authorization error.","Błąd autoryzacji płatności."
"Payment capturing error.","Błąd przechwycenia płatności."
"Payment from Applicable Countries","Płatność ze stosownych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Payment refunding error.","Błąd refundacji płatności."
"Payment voiding error.","Błąd unieważnienia płatności."
"Sort Order","Kolejność sortowania"
"Test Mode","Tryb testowy"
"Title","Tytuł"
"Transaction Key","Klucz transakcji"
"authorize","autoryzuj"
"authorize and capture","autoryzuj i przechwyć"
"capture","przechwyć"
"failed","nieudane"
"refund","zwróć"
"successful","zakończona pomyślnie"
"void","unieważniony"
