"Active","Aktywny"
"Add Attribute Mapping","Dodaj mapowanie atrybutów"
"Add New Attribute","Dodaj cechę"
"Add to Google Base","Dodaj do Google Base"
"Are you sure?","Czy na pewno tego chcesz?"
"Attribute","Cecha"
"Attribute Set","Zestaw cech"
"Attribute Set and Item Type","Zestaw cech i typ produktu"
"Attributes","Cechy"
"Attributes Set","Zestawy cech"
"AuthSub","Mechanizm autoryzacji AuthSub"
"Available Products","Dostępne produkty"
"Cannot update Google Base Item for Store '%s'","Nie można zaktualizować Google Base dla sklepu '%s'"
"Captcha confirmation error: %s","Błąd potwierdzenia captcha: %s"
"Catalog","Katalog"
"Clicks","Kliknięcia"
"ClientLogin","Login Klienta"
"Confirm","Potwierdź"
"Current Mapping will be reloaded. Continue?","Obecne mapowanie zostanie przeładowane. Kontynuować?"
"Custom attribute, no mapping","Niestandardowe cechy, bez mapowania"
"Delete","Usuń"
"Delete Mapping","Usuń mapowanie"
"Edit Item Type","Edytuj typ produktu"
"Edit Item Type ""%s""","Edytuj typ elementu %s"""
"Error: %s","Błąd: %s"
"Expires","Wygasa"
"Google Base Attribute","Cecha Google Base"
"Google Base ID","ID Google Base"
"Google Base Item Type","Typ produktu Google Base"
"Google Base Item type","Typ produktu Google Base"
"Google Base Items","Produkty Google Base"
"Hide","Ukryj"
"Impr.","Wyśw."
"Invalid Product Model for Google Base Item","Nieprawidłowy model produktu dla produktu Google Base"
"Item Type was deleted","Typ produktu został usunięty"
"Item Types","Typy produktu"
"Items","Pozycje"
"Manage Attribute Mapping","Zarządzaj mapowaniem cech"
"Manage Attributes","Zarządzaj cechami"
"Manage Items","Zarządzaj produktami"
"New Item Type","Nowy typ elementu"
"No","Nie"
"No items were deleted from Google Base","Nie usunięto żadnych produktów z Google Base"
"No items were published","Nie opublikowano żadnych produktów"
"No products were added to Google Base","Nie dodano żadnych produktów do Google Base"
"Please, select Attribute Set and Google Item Type to load attributes","Wybierz zestaw cech i typ produktu Google aby załadować cechy"
"Product Name","Nazwa produktu"
"Publish","Publikuj"
"Published","Opublikowany"
"Remove","Usuń"
"Save Mapping","Zapisz mapowanie"
"Synchronize","Synchronizuj"
"Target Country","Docelowy kraj"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Ta akcja spowoduje uaktualnienie statystyk dla produktów i usunie produkty, które nie są dostępne w Google Base. Kontynuować?"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Nie można połączyć się z Google Base. Prosimy sprawdzić ustawienia konta w konfiguracji."
"View Available Products","Zobacz dostępne produkty"
"View Item in Google Base","Zobacz przedmiot w Google Base"
"Yes","Tak"
