"--Please Select--","--Proszę wybrać--"
"API Login ID","ID logowania API"
"Accepted Currency","Akceptowana waluta"
"Card Verification Number","Numer weryfikacyjny karty"
"Card Verification Number Visual Reference","Wizualna referencja numeru weryfikacyjnego karty"
"Close","Zamknij"
"Credit Card Information","Informacje karty kredytowej"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Types","Typy kart kredytowych"
"Credit Card Verification","Weryfikacja karty kredytowej"
"Debug","Tryb debug"
"Email Customer","Wyślij e-mail do klienta"
"Enabled","Włączone"
"Expiration Date","Data ważności"
"Gateway URL","URL bramki"
"Maximum Order Total","Maksymalna suma zamówienia"
"Merchant MD5","MD5 handlowca"
"Merchant's Email","E-mail handlowca"
"Minimum Order Total","Minimalna suma zamówienia"
"New Order Status","Status nowego zamówienia"
"Order saving error: %s","Błąd podczas zapisywania zamówienia: %s"
"Payment Action","Akcja płatności"
"Payment authorization error.","Błąd autoryzacji płatności."
"Payment from Applicable Countries","Płatność ze stosownych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Sort Order","Kolejność sortowania"
"Test Mode","Tryb testowy"
"There was an error processing your order. Please contact us or try again later.","Wystąpił problem z przetwarzaniem zamówienia. Skontaktuj się z obsługa sklepu lub spróbuj później."
"Title","Tytuł"
"Transaction Key","Klucz transakcji"
"What is this?","Co to jest?"
