"<a href=""%s"" target=""_blank"">Link</a>","<a href=%s"" target=""_blank"">Link</a>"""
"Done","Gotowe"
"ETA: %s","Czas: %s"
"Less than a minute","Mniej niż minutę"
"Memory Used: %s","Zużycie pamięci: %s"
"Processed records: %s","Przetworzone wpisy: %s"
"Sheet 1","Arkusz 1"
"Starting %s :: %s","Rozpoczynając %s :: %s"
"Total records: %s","Wpisy łącznie: %s"
"hour","godz."
"hours","godz."
"minute","min."
"minutes","min."
