"Actions","Operacje"
"Are you sure?","Czy na pewno tego chcesz?"
"Date Added","Data dodania"
"Last Update","Ostatnia aktualizacja"
"Mark as Read","Oznacz jako przeczytane"
"Mark as read","Oznacz jako przeczytane"
"Message","Wiadomość"
"Messages Inbox","Skrzynka odbiorcza"
"Notifications","Powiadomienia"
"Please select messages.","Wybierz wiadomości."
"Read Details","Przeczytaj szczegóły"
"Remove","Usuń"
"Severity","Priorytet"
"Show List","Pokaż listę"
"Show Toolbar","Pokaż pasek narzędzi"
"The message has been removed.","Wiadomość została usunięta."
"Update Frequency","Częstotliwość aktualizacji"
"Use HTTPS to Get Feed","Używaj HTTPS do pobierania kanałów"
"Wrong message type","Nieprawidłowy typ wiadomości"
"critical","krytyczny"
"major","ważne"
"minor","drobne"
"notice","informacja"
