"* Select shipping method","* wybierz metodę dostawy"
"2Day","TRANSLATE_THIS"
"AVS Status: %s","Status AVS: %s"
"Add Shipping Method","Dodaj metodę dostawy"
"Allowed Methods","Dozwolone metody"
"Amount: %s","Kwota: %s"
"Auto-generated from GoogleCheckout Charge","Opłaty wygenerowane przez Google Checkout"
"CC Partial: xxxx-%s","Częściowy numer karty kredytowej: xxxx-%s"
"CID Status: %s","Status CID: %s"
"Carrier Calculated Methods","Metody wyliczenia dostawy"
"Cart Discount","Zniżka koszyka"
"Checkout Image Style","Styl obrazka zamówienia"
"Commercial","Komercyjna"
"Continue Shopping URL","URL kontynuowania zakupów"
"Debug","Tryb debug"
"Default Package Height (in)","Domyślna wysokość paczki (cale)"
"Default Package Length (in)","Domyślna długość paczki (cale)"
"Default Package Width (in)","Domyślna szerokość paczki (cale)"
"Default price:","Domyślna cena:"
"Delivery Address Category","Kategoria adresu dostawy"
"Disable Default Tax Tables","Wyłącz domyślne tabele podatków"
"Enable","Włącz"
"Enable Carrier Calculated","Odblokuj wyliczenie dostawy"
"Enable Digital Delivery","Odblokuj dostawę elektroniczną"
"Enable Flat Rate","Odblokuj płaską stawkę"
"Enable Merchant Calculated","Odblokuj wyliczenie handlowca"
"Enable this if your checkout request is too big and being cut off.","Odblokuj to jeśli twoje żądanie jest zbyt duże i połączenie zostaje zrywane."
"Expiration: %s","Wygasa: %s"
"Express Mail","TRANSLATE_THIS"
"Express Saver","TRANSLATE_THIS"
"FedEx","TRANSLATE_THIS"
"Financial: %s -> %s","Finansowo: %s -> %s"
"First Overnight","TRANSLATE_THIS"
"Free Shipping","Darmowa dostawa"
"Fulfillment: %s -> %s","Realizacja: %s -> %s"
"Google API","API Google"
"Google Authorization:","Autoryzacja Google:"
"Google Charge:","Opłata Google:"
"Google Checkout Shipping - Carrier Calculated","Google Checkout Shipping - Obliczone przez dostawcę"
"Google Checkout Shipping - Digital Delivery","Dostawa Google Checkout – Dostawa elektroniczna"
"Google Checkout Shipping - Flat Rate","Dostawa Google Checkout - Płaska stawka"
"Google Checkout Shipping - Merchant Calculated","Dostawa Google Checkout - Obliczone przez sprzedawcę"
"Google Order Number: %s","Numer zamówienia Google: %s"
"Google Refund:","Zwrot Google:"
"Google Risk Information:","Informacja o ryzyku (Google):"
"Ground","Naziemny"
"Home Delivery","Dostawa do domu"
"IP Address: %s","Adres IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Jeśli włączone, zawartość koszyka będzie ukryta po kliknięciu na przycisk Google Checkout w koszyku i przywrócona po kliknięciu w edycję koszyka."
"Inches","Cale"
"Large - %s","Duży - %s"
"Latest Charge: %s","Ostatnio pobrano: %s"
"Latest Refund: %s","Ostatnio zrefundowano: %s"
"Location","Lokalizacja"
"Media Mail","TRANSLATE_THIS"
"Medium - %s","Średni - %s"
"Merchant ID","ID sprzedawcy"
"Merchant Key","Klucz sprzedawcy"
"Method","Metoda"
"New Order Status","Status nowego zamówienia"
"No","Nie"
"Optional, leave empty for home page.","Opcjonalne, pozostaw puste dla strony głównej."
"Parcel Post","Paczka pocztowa"
"Priority Mail","Poczta priorytetowa"
"Priority Overnight","Priorytet na drugi dzień"
"Rate 1 Amount","Stawka 1 kwota"
"Rate 1 Ship To Applicable Countries","Stawka 1 wyślij do dopuszczonych krajów"
"Rate 1 Ship to Specific Countries","Stawka 1 wyślij do określonych krajów"
"Rate 1 Title","Stawka 1 tytuł"
"Rate 2 Amount","Stawka 2 kwota"
"Rate 2 Ship To Applicable Countries","Stawka 2 wyślij do dopuszczonych krajów"
"Rate 2 Ship to Specific Countries","Stawka 2 wyślij do określonych krajów"
"Rate 2 Title","Stawka 2 tytuł"
"Rate 3 Amount","Stawka 3 kwota"
"Rate 3 Ship To Applicable Countries","Stawka 3 wyślij do dopuszczonych krajów"
"Rate 3 Ship to Specific Countries","Stawka 3 wyślij do określonych krajów"
"Rate 3 Title","Stawka 3 tytuł"
"Residential","Rezydencyjny"
"Sandbox","Środowisko testowe"
"Secure Callback URL","Zabezpieczony URL zwrotny"
"Small - %s","Mały - %s"
"Standard Overnight","Standard na drugi dzień"
"Title","Tytuł"
"Total Charged: %s","Razem: %s"
"Total Refunded: %s","Suma do zwrotu: %s"
"Transparent","Przeźroczysty"
"UPS","TRANSLATE_THIS"
"USPS","TRANSLATE_THIS"
"United Kingdom","Wielka Brytania"
"United States","Stany Zjednoczone"
"White Background","Białe tło"
"Yes","Tak"
"You will be redirected to GoogleCheckout in a few seconds.","W ciągu kilku sekund zostaniesz przeniesiony na strony Google Checkout."
