"ALL","WSZYSTKIE"
"ANY","DOWOLNY"
"Add","Dodaj"
"Apply","Zastosuj"
"Conditions Combination","Kombinacja warunków"
"FALSE","FAŁSZ"
"If %s of these conditions are %s:","Jeżeli %s z tych warunków jest %s:"
"Invalid discount amount.","Błędna wartość zniżki."
"Open Chooser","Otwórz selektor"
"Perform following actions","Wykonaj następujące czynności"
"Please choose a condition to add...","Wybierz warunek do dodania..."
"Please choose an action to add...","Wybierz operację do dodania..."
"Remove","Usuń"
"TRUE","PRAWDA"
"by","od"
"contains","zawiera"
"does not contain","nie zawiera"
"does not contains","nie zawiera"
"equals or greater than","równy lub większy niż"
"equals or less than","równy lub mniejszy niż"
"for","dla"
"for greater than","dla większych niż"
"for or greater than","dla równego lub większego niż"
"found","znaleziono"
"from","od"
"greater than","większy niż"
"is","jest"
"is not","nie jest"
"is not one of","nie jest jednym z"
"is one of","jest jednym z"
"less than","mniej niż"
"not found","nie znaleziono"
"not from","nie stąd"
"to","do"
"was","było"
"was not","nie było"
