"Actions","Operacje"
"Active","Aktywny"
"Add New Rule","Dodaj regułę"
"Apply","Zastosuj"
"Apply Rules","Zastosuj reguły"
"Attribute Set","Zestaw cech"
"By Fixed Amount","O stałą ilość"
"Catalog","Katalog"
"Catalog Price Rule","Reguły cenowe katalogu"
"Catalog Price Rules","Reguły cenowe katalogu"
"Category","Kategoria"
"Conditions","Warunki"
"Conditions (leave blank for all products)","Warunki (pozostaw puste dla wszystkich produktów)"
"Conditions Combination","Kombinacja warunków"
"Customer Groups","Grupy klientów"
"Date Expire","Data wygaśnięcia"
"Date From","Data od"
"Date Start","Data rozpoczęcia"
"Date To","Data do"
"Description","Opis"
"Discount Amount","Zniżka"
"Edit Rule","Edytuj regułę"
"Edit Rule '%s'","Edycja reguły '%s'"
"Expiration Date","Data ważności"
"From Date","Od daty"
"General Information","Ogólne"
"ID","Identyfikator"
"Inactive","Nieaktywny"
"New Rule","Nowa reguła"
"No","Nie"
"Options","Opcje"
"Priority","Priorytet"
"Product Attribute","Cecha produktu"
"Promotions","Promocje"
"Rule Information","Informacje o regule"
"Rule Name","Nazwa reguły"
"Save and Apply","Zapisz i zastosuj"
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Start Date","Data rozpoczęcia"
"Status","Stan"
"This rule no longer exists.","Ta reguła już nie istnieje."
"To Date","Do daty"
"To Fixed Amount","Do stałej ilości"
"Type","Rodzaj"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Website","Witryna"
"Websites","Witryny"
"Yes","Tak"
