"Add Recipient","Dodaj odbiorcę"
"Allow for Guests","Wysyłanie maili przez Gości"
"Back","Powrót"
"Email Address","Adres e-mail"
"Email Address:","Adres email:"
"Email Templates","Szablony e-mail"
"Email to a Friend","Wyślij znajomemu"
"Email:","E-mail:"
"Enabled","Włączone"
"Invalid Sender Information","Nieprawidłowa informacja nadawcy"
"Limit Sending By","Ogranicz wysyłanie o"
"Max Products Sent in 1 Hour","Wysłana maksymalna ilość produktów w 1 godzinie"
"Max Recipients","Maksymalna ilość odbiorców"
"Maximum %d email addresses allowed.","Dopuszczalne maksymalnie %d adresów e-mail."
"Message:","Wiadomość:"
"Name","Nazwa"
"Name:","Imię:"
"Recipient:","Odbiorca:"
"Remove Email","Usuń e-mail"
"Select Email Template","Wybierz szablon e-mail"
"Send Email","Wyślij e-mail"
"Send product to a friend","Wyślij produkt do znajomego"
"Sender:","Nadawca:"
"Some emails were not sent.","Niektóre e-maile nie zostały wysłane."
"The link to a friend was sent.","Link został wysłany do znajomego."
