"Add Minimum Qty","Dodaj minimalną ilość"
"Allow Qty Below 0","Zezwól na ilość mniejszą od 0"
"Allow Qty Below 0 and Notify Customer","Zezwól na ilość mniejszą od 0 i powiadom klienta"
"Automatically Return Credit Memo Item to Stock","Automatycznie zwróć produkt z faktury korygującej do magazynu"
"Backorders","Rezerwacje"
"By Fixed value","O stałą wartość"
"By Percentage","O wartość procentową"
"Catalog Inventory","Stany magazynowe"
"Decrease Stock When Order is Placed","Zmniejsz stan magazynowy po złożeniu zamówienia"
"Display Out of Stock Products","Pokazuj produkty, których brak w magazynie"
"Enable Qty Increments","Włącz zwiększanie ilości"
"In Stock","W magazynie"
"Inventory","Magazyn"
"Inventory API","API stanów magazynowych"
"Inventory Section","Sekcja stanów magazynowych"
"Manage Stock","Zarządzaj stanami"
"Maximum Qty Allowed in Shopping Cart","Maksymalna ilość w koszyku"
"Minimum Qty","Minimalna ilość"
"Minimum Qty Allowed in Shopping Cart","Minimalna ilość w koszyku"
"No Backorders","Bez rezerwacji"
"Notify for Quantity Below","Powiadamiaj o ujemnej ilości"
"Only X left Threshold","Przedział do pozostało X produktów"
"Out of Stock","Brak w magazynie"
"Product Name","Nazwa produktu"
"Product Stock Options","Opcje stanów magazynowych"
"Products will still be shown by direct product URLs.","Produkt będzie nadla widoczny pod bezpośrednim podanym adresem."
"Qty","Ilość"
"Qty Increments","Zwiększanie ilości"
"Retrieve stock data","Pobierz dane stanów magazynowych"
"Retrieve stock data by product ids","Pobierz dane stanów magazynowych wg id produktu"
"Rule price","Reguła ceny"
"Set Items' Status to be In Stock When Order is Cancelled","Ustaw status produktu na Dostępny kiedy zamówienie zostanie anulowane"
"Stock Options","Opcje stanów"
"Stock Status","Stan magazynowy"
"The maximum quantity allowed for purchase is %s.","Maksymalna wielkość zamówienia to %d."
"The minimum quantity allowed for purchase is %s.","Minimalna wielkość zamówienia to %d."
"The requested quantity for ""%s"" is not available.","Wymagana ilość ""%s"" nie jest dostępna."
"The stock item for Product in option is not valid.","Jednostka ilości dla produktu w opcji nie jest poprawna."
"This product is currently out of stock.","Ten produkt jest obecnie niedostępny."
"To Fixed Value","Do stałej wartości"
"To Percentage","Do wartości procentowej"
"Update","Aktualizuj"
"Update product stock data","Aktualizuj dane stanów magazynowych"
"Update the Product","Aktualizuj produkt"
